"","Model","Sample","D47","D47error","meanTemp","Temp_L","Temp_H"
"1","OLS_classic","Test1",0.6,0.005,58.8832570031475,54.1647484828547,63.6017655234404
"2","OLS_classic","Test2",0.7,0.005,18.8265717990226,15.6101432066701,22.0430003913751
"3","OLS_classic","Test3",0.8,0.005,-9.5326192321329,-11.9036003895033,-7.16163807476247
"4","OLS_classic","Test4",0.6,0.01,58.8832570031475,49.5474082305529,68.2191057757422
"5","OLS_classic","Test5",0.7,0.01,18.8265717990226,12.4473452111194,25.2057983869257
"6","OLS_classic","Test6",0.8,0.01,-9.5326192321329,-14.2422384759962,-4.82299998826958
"7","OLS_classic","Test7",0.6,0.02,58.8832570031475,40.6021487512968,77.1643652549983
"8","OLS_classic","Test8",0.7,0.02,18.8265717990226,6.27680105959645,31.3763425384487
"9","OLS_classic","Test9",0.8,0.02,-9.5326192321329,-18.8253774841009,-0.23986098016492
"10","OLS_simple","Test1",0.6,0.005,58.8832570031475,38.3402096517586,84.1128564981973
"11","OLS_simple","Test2",0.7,0.005,18.8265717990226,4.56302589876464,35.540812391574
"12","OLS_simple","Test3",0.8,0.005,-9.5326192321329,-20.1725529210795,2.57363845941723
"13","OLS_simple","Test4",0.6,0.01,58.8832570031475,38.3402096517586,84.1128564981973
"14","OLS_simple","Test5",0.7,0.01,18.8265717990226,4.56302589876464,35.540812391574
"15","OLS_simple","Test6",0.8,0.01,-9.5326192321329,-20.1725529210795,2.57363845941723
"16","OLS_simple","Test7",0.6,0.02,58.8832570031475,38.3402096517586,84.1128564981973
"17","OLS_simple","Test8",0.7,0.02,18.8265717990226,4.56302589876464,35.540812391574
"18","OLS_simple","Test9",0.8,0.02,-9.5326192321329,-20.1725529210795,2.57363845941723
"19","York_classic","Test1",0.6,0.005,57.4689950122692,52.9300216285885,62.0079683959499
"20","York_classic","Test2",0.7,0.005,18.7198312633724,15.5898061200869,21.8498564066578
"21","York_classic","Test3",0.8,0.005,-8.97572532977119,-11.3000432424152,-6.65140741712722
"22","York_classic","Test4",0.6,0.01,57.4689950122692,48.4851102743529,66.4528797501855
"23","York_classic","Test5",0.7,0.01,18.7198312633724,12.5106024349176,24.9290600918271
"24","York_classic","Test6",0.8,0.01,-8.97572532977119,-13.5933380359817,-4.35811262356072
"25","York_classic","Test7",0.6,0.02,57.4689950122692,39.8648063250009,75.0731836995375
"26","York_classic","Test8",0.7,0.02,18.7198312633724,6.49926760605683,30.9403949206879
"27","York_classic","Test9",0.8,0.02,-8.97572532977119,-18.0895734744475,0.138122814905129
"28","York_simple","Test1",0.6,0.005,57.4689950122692,37.5004326102252,81.8603572012308
"29","York_simple","Test2",0.7,0.005,18.7198312633724,4.70651012108732,35.0924685642817
"30","York_simple","Test3",0.8,0.005,-8.97572532977119,-19.5014597445385,2.97946173937095
"31","York_simple","Test4",0.6,0.01,57.4689950122692,37.5004326102252,81.8603572012308
"32","York_simple","Test5",0.7,0.01,18.7198312633724,4.70651012108732,35.0924685642817
"33","York_simple","Test6",0.8,0.01,-8.97572532977119,-19.5014597445385,2.97946173937095
"34","York_simple","Test7",0.6,0.02,57.4689950122692,37.5004326102252,81.8603572012308
"35","York_simple","Test8",0.7,0.02,18.7198312633724,4.70651012108732,35.0924685642817
"36","York_simple","Test9",0.8,0.02,-8.97572532977119,-19.5014597445385,2.97946173937095
"37","Deming_classic","Test1",0.6,0.005,58.5153458308915,53.8705192057299,63.1601724560531
"38","Deming_classic","Test2",0.7,0.005,18.9896395641583,15.8077650652612,22.1715140630555
"39","Deming_classic","Test3",0.8,0.005,-9.10732256180887,-11.4601831180744,-6.75446200554336
"40","Deming_classic","Test4",0.6,0.01,58.5153458308915,49.3238550317267,67.7068366300562
"41","Deming_classic","Test5",0.7,0.01,18.9896395641583,12.678352330639,25.3009267976777
"42","Deming_classic","Test6",0.8,0.01,-9.10732256180887,-13.7812417199375,-4.43340340368028
"43","Deming_classic","Test7",0.6,0.02,58.5153458308915,40.5115393535995,76.5191523081835
"44","Deming_classic","Test8",0.7,0.02,18.9896395641583,6.57126201073602,31.4080171175806
"45","Deming_classic","Test9",0.8,0.02,-9.10732256180887,-18.3307711129567,0.116125989338951
"46","Deming_simple","Test1",0.6,0.005,58.5153458308915,38.222765744796,83.3743011119974
"47","Deming_simple","Test2",0.7,0.005,18.9896395641583,4.8359799231601,35.5515918521137
"48","Deming_simple","Test3",0.8,0.005,-9.10732256180887,-19.6962250165629,2.93024835822035
"49","Deming_simple","Test4",0.6,0.01,58.5153458308915,38.222765744796,83.3743011119974
"50","Deming_simple","Test5",0.7,0.01,18.9896395641583,4.8359799231601,35.5515918521137
"51","Deming_simple","Test6",0.8,0.01,-9.10732256180887,-19.6962250165629,2.93024835822035
"52","Deming_simple","Test7",0.6,0.02,58.5153458308915,38.222765744796,83.3743011119974
"53","Deming_simple","Test8",0.7,0.02,18.9896395641583,4.8359799231601,35.5515918521137
"54","Deming_simple","Test9",0.8,0.02,-9.10732256180887,-19.6962250165629,2.93024835822035
"55","WOLS_classic","Test1",0.6,0.005,59.0548926800809,54.286091972191,63.8236933879707
"56","WOLS_classic","Test2",0.7,0.005,18.6386912528354,15.3991331519415,21.8782493537292
"57","WOLS_classic","Test3",0.8,0.005,-9.89453191021687,-12.2773910678137,-7.51167275262007
"58","WOLS_classic","Test4",0.6,0.01,59.0548926800809,49.6205592940437,68.4892260661181
"59","WOLS_classic","Test5",0.7,0.01,18.6386912528354,12.214010033533,25.0633724721377
