"","Model","Sample","D47","D47error","meanTemp","Temp_L","Temp_H"
"1","OLS_classic","Test1",0.6,0.005,58.9229312344136,54.183865178283,63.6619972905443
"2","OLS_classic","Test2",0.7,0.005,18.7197655767877,15.4939638915956,21.9455672619799
"3","OLS_classic","Test3",0.8,0.005,-9.70959819788612,-12.0853310596882,-7.33386533608402
"4","OLS_classic","Test4",0.6,0.01,58.9229312344136,49.5468324832495,68.2990299855777
"5","OLS_classic","Test5",0.7,0.01,18.7197655767877,12.3221236054672,25.1174075481082
"6","OLS_classic","Test6",0.8,0.01,-9.70959819788612,-14.4285700579611,-4.99062633781111
"7","OLS_classic","Test7",0.6,0.02,58.9229312344136,40.5646052006243,77.2812572682029
"8","OLS_classic","Test8",0.7,0.02,18.7197655767877,6.13443258256702,31.3050985710084
"9","OLS_classic","Test9",0.8,0.02,-9.70959819788612,-19.0204795738132,-0.398716821959031
"10","OLS_simple","Test1",0.6,0.005,58.9229312344136,38.3019538558025,84.2695181836685
"11","OLS_simple","Test2",0.7,0.005,18.7197655767877,4.42085281747222,35.4836562676598
"12","OLS_simple","Test3",0.8,0.005,-9.70959819788612,-20.3669303297943,2.42031658536376
"13","OLS_simple","Test4",0.6,0.01,58.9229312344136,38.3019538558025,84.2695181836685
"14","OLS_simple","Test5",0.7,0.01,18.7197655767877,4.42085281747222,35.4836562676598
"15","OLS_simple","Test6",0.8,0.01,-9.70959819788612,-20.3669303297943,2.42031658536376
"16","OLS_simple","Test7",0.6,0.02,58.9229312344136,38.3019538558025,84.2695181836685
"17","OLS_simple","Test8",0.7,0.02,18.7197655767877,4.42085281747222,35.4836562676598
"18","OLS_simple","Test9",0.8,0.02,-9.70959819788612,-20.3669303297943,2.42031658536376
"19","York_classic","Test1",0.6,0.005,57.6472471834323,53.0642399741199,62.2302543927447
"20","York_classic","Test2",0.7,0.005,18.5794447531062,15.4285915454979,21.7302979607145
"21","York_classic","Test3",0.8,0.005,-9.2744178484204,-11.6096881364385,-6.93914756040226
"22","York_classic","Test4",0.6,0.01,57.6472471834323,48.5770649059615,66.717429460903
"23","York_classic","Test5",0.7,0.01,18.5794447531062,12.3292592121568,24.8296302940556
"24","York_classic","Test6",0.8,0.01,-9.2744178484204,-13.9136084319565,-4.63522726488431
"25","York_classic","Test7",0.6,0.02,57.6472471834323,39.8771919105519,75.4173024563127
"26","York_classic","Test8",0.7,0.02,18.5794447531062,6.27965330811838,30.879236198094
"27","York_classic","Test9",0.8,0.02,-9.2744178484204,-18.4301585066063,-0.118677190234521
"28","York_simple","Test1",0.6,0.005,57.6472471834323,37.5706353574165,82.1971103982875
"29","York_simple","Test2",0.7,0.005,18.5794447531062,4.52996610806264,35.002803918193
"30","York_simple","Test3",0.8,0.005,-9.27441784842034,-19.8079693043019,2.69269778735935
"31","York_simple","Test4",0.6,0.01,57.6472471834323,37.5706353574165,82.1971103982875
"32","York_simple","Test5",0.7,0.01,18.5794447531062,4.52996610806264,35.002803918193
"33","York_simple","Test6",0.8,0.01,-9.27441784842034,-19.8079693043019,2.69269778735935
"34","York_simple","Test7",0.6,0.02,57.6472471834323,37.5706353574165,82.1971103982875
"35","York_simple","Test8",0.7,0.02,18.5794447531062,4.52996610806264,35.002803918193
"36","York_simple","Test9",0.8,0.02,-9.27441784842034,-19.8079693043019,2.69269778735935
"37","Deming_classic","Test1",0.6,0.005,57.8996981557241,53.2929699360538,62.5064263753945
"38","Deming_classic","Test2",0.7,0.005,18.6575952163,15.4950748036678,21.8201156289323
"39","Deming_classic","Test3",0.8,0.005,-9.28678879548789,-11.628516268457,-6.9450613225188
"40","Deming_classic","Test4",0.6,0.01,57.8996981557241,48.7829886748595,67.0164076365887
"41","Deming_classic","Test5",0.7,0.01,18.6575952163,12.3844416810307,24.9307487515693
"42","Deming_classic","Test6",0.8,0.01,-9.28678879548789,-13.9387194542536,-4.63485813672219
"43","Deming_classic","Test7",0.6,0.02,57.8996981557241,40.0400677774145,75.7593285340338
"44","Deming_classic","Test8",0.7,0.02,18.6575952163,6.31327585290489,31.0019145796952
"45","Deming_classic","Test9",0.8,0.02,-9.28678879548789,-18.4673353722595,-0.106242218716288
"46","Deming_simple","Test1",0.6,0.005,57.8996981557241,37.746675420247,82.559730965983
"47","Deming_simple","Test2",0.7,0.005,18.6575952163,4.57372752325523,35.1272243242487
"48","Deming_simple","Test3",0.8,0.005,-9.28678879548789,-19.8368479188544,2.70171635582534
"49","Deming_simple","Test4",0.6,0.01,57.8996981557241,37.746675420247,82.559730965983
"50","Deming_simple","Test5",0.7,0.01,18.6575952163,4.57372752325523,35.1272243242487
"51","Deming_simple","Test6",0.8,0.01,-9.28678879548789,-19.8368479188544,2.70171635582534
"52","Deming_simple","Test7",0.6,0.02,57.8996981557241,37.746675420247,82.559730965983
"53","Deming_simple","Test8",0.7,0.02,18.6575952163,4.57372752325523,35.1272243242487
"54","Deming_simple","Test9",0.8,0.02,-9.28678879548789,-19.8368479188544,2.70171635582534
"55","WOLS_classic","Test1",0.6,0.005,59.01795778004,54.26742843383,63.76848712625
"56","WOLS_classic","Test2",0.7,0.005,18.7317322929964,15.5004742600968,21.962990325896
"57","WOLS_classic","Test3",0.8,0.005,-9.73942011875079,-12.118081995085,-7.36075824241654
"58","WOLS_classic","Test4",0.6,0.01,59.01795778004,49.6193941970872,68.4165213629928
"59","WOLS_classic","Test5",0.7,0.01,18.7317322929964,12.3233571134672,25.1401074725256
"60","WOLS_classic","Test6",0.8,0.01,-9.73942011875079,-14.4641665475968,-5.01467368990477
