"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming","0.256007350","0.024270283","0.0379315522","0.0015623472"
"2","OLS","0.260982513","0.005067037","0.0374088655","0.0004068475"
"3","WOLS","0.261175642","0.005171656","0.0373929799","0.0004130119"
"4","York","0.254458420","0.023219099","0.0380354322","0.0015069123"
"5","BLM1_fit","0.269454438766907","0.00537060430329062","0.0366389713504243","0.000425480280915822"
"6","BLM1_fit_NoErrors","0.270101830002393","0.00534000869530937","0.0365853446062082","0.000423282970905265"
"7","BLM3_fit","0.269791981555294","0.00512523456507882","0.0366093182632164","0.000405242276389762"
