"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming","0.261227074","0.012540825","0.0374593590","0.0008194116"
"2","OLS","0.264115684","0.002858700","0.0371839769","0.0002307160"
"3","WOLS","0.264046267","0.002740647","0.0371891782","0.0002191177"
"4","York","0.260365563","0.012529542","0.0375040829","0.0008208411"
"5","BLM1_fit","0.267944639627129","0.00278271404569246","0.0368893479273298","0.000217758154789234"
"6","BLM1_fit_NoErrors","0.267767511729886","0.0027857743289204","0.0369026750490911","0.000217912391097165"
"7","BLM3_fit","0.267923348561606","0.00281330686418488","0.0368917423767766","0.000220304294539593"
