"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming","0.25880190","0.03572767","0.037655025","0.002949436"
"2","OLS","0.26400773","0.02436136","0.037202353","0.001961852"
"3","WOLS","0.26394299","0.02568030","0.037197331","0.002064505"
"4","York","0.25876343","0.03335177","0.037650939","0.002742337"
"5","BLM1_fit","0.0163875797098604","0.010074390782557","0.0538962180768828","0.00249799881181042"
"6","BLM1_fit_NoErrors","0.0167127874427445","0.0098644867759153","0.0539327040040269","0.00209217567866573"
"7","BLM3_fit","0.0160197115725498","0.00981236526190682","0.0538813014997397","0.00243209187178877"
