"","Type","Model","D47","D47se","Tc","se","Tc","se"
"76","Bayesian","BLM1_fit",0.6,0.01,0.6,0.01,59.0413365146163,2.77697410417168
"77","Bayesian","BLM1_fit",0.7,0.01,0.7,0.01,18.9027026400451,1.88838852511752
"78","Bayesian","BLM1_fit",0.8,0.01,0.8,0.01,-9.49552037471087,1.39284041571317
"79","Bayesian","BLM1_fit",0.6,0.02,0.6,0.02,59.0382524581204,5.44829762862786
"80","Bayesian","BLM1_fit",0.7,0.02,0.7,0.02,18.9011682764823,3.73455334694891
"81","Bayesian","BLM1_fit",0.8,0.02,0.8,0.02,-9.49544041629065,2.76023283274199
"82","Bayesian","BLM1_fit_NoErrors",0.6,0.005,0.6,0.005,59.1703818983467,1.39931379849727
"83","Bayesian","BLM1_fit_NoErrors",0.7,0.005,0.7,0.005,18.9729680391423,0.953384854061706
"84","Bayesian","BLM1_fit_NoErrors",0.8,0.005,0.8,0.005,-9.45891628820949,0.701965201582962
"85","Bayesian","BLM1_fit_NoErrors",0.6,0.01,0.6,0.01,59.169323325613,2.7752130758562
"86","Bayesian","BLM1_fit_NoErrors",0.7,0.01,0.7,0.01,18.9746165039473,1.88996451403336
"87","Bayesian","BLM1_fit_NoErrors",0.8,0.01,0.8,0.01,-9.45915908856606,1.39356392468946
"88","Bayesian","BLM1_fit_NoErrors",0.6,0.02,0.6,0.02,59.1700687732212,5.45745307417353
"89","Bayesian","BLM1_fit_NoErrors",0.7,0.02,0.7,0.02,18.9711827146419,3.74011580712366
"90","Bayesian","BLM1_fit_NoErrors",0.8,0.02,0.8,0.02,-9.45935095925258,2.75937002301733
"91","Bayesian","BLM3",0.6,0.005,0.6,0.005,59.2503425521139,1.40227410177557
"92","Bayesian","BLM3",0.7,0.005,0.7,0.005,18.9977873979533,0.954500557059367
"93","Bayesian","BLM3",0.8,0.005,0.8,0.005,-9.46134243144748,0.701963753797072
"94","Bayesian","BLM3",0.6,0.01,0.6,0.01,59.2465118683853,2.77534375069862
"95","Bayesian","BLM3",0.7,0.01,0.7,0.01,18.9972170605366,1.89424280889597
"96","Bayesian","BLM3",0.8,0.01,0.8,0.01,-9.46299597404424,1.39693442809349
"97","Bayesian","BLM3",0.6,0.02,0.6,0.02,59.2406323064321,5.47446875808172
"98","Bayesian","BLM3",0.7,0.02,0.7,0.02,18.9957817730732,3.74114036273986
"99","Bayesian","BLM3",0.8,0.02,0.8,0.02,-9.46263133589616,2.76834102695374
