"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming",0.269924577,0.004053046,0.0367094546,0.0003276313
"2","OLS",0.270715188,0.003993006,0.0366452647,0.0003140617
"3","WOLS",0.270844175,0.004054403,0.0366395329,0.0003270922
"4","York",0.270181175,0.003896062,0.036689173,0.0003101799
"5","BLM1_fit",0.269853715269881,0.00400735011039956,0.036715315051809,0.000319566940235588
"6","BLM1_fit_NoErrors",0.270363776152943,0.00382852452845054,0.0366745616896919,0.000302196592150348
"7","BLM3_fit",0.270434438647251,0.00398204728844707,0.0366696965841845,0.000312325798278699
