"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming",0.268205437,0.001915214,0.0369682856,0.0001512507
"2","OLS",0.2671408,0.002709086,0.0369367753,0.0002205164
"3","WOLS",0.267243922,0.002708291,0.0369279453,0.0002204027
"4","York",0.268155784,0.001868063,0.0369707397,0.000149199
"5","BLM1_fit",0.264186905666961,0.0036727925207718,0.0371765819218328,0.000296232083150181
"6","BLM1_fit_NoErrors",0.26689634213792,0.00266665683949367,0.0369549746628605,0.000214700664474161
"7","BLM3_fit",0.267039738000715,0.00269055075589104,0.0369453750180966,0.000216149645733236
