"","Model","alpha","beta"
"1","OLS",0.259193142441552,0.0374483979840227
"2","OLS",0.264052997178897,0.0370850073239638
"3","OLS",0.258090963329374,0.0377193588899055
"4","OLS",0.255199356519592,0.0377845076281564
"5","OLS",0.255175289079759,0.0378363329088895
"6","OLS",0.266598925159353,0.0370681574282672
"7","OLS",0.266620725996878,0.0370465841900375
"8","OLS",0.257833012384059,0.0377028780913875
"9","OLS",0.265234998624474,0.0371046123050288
"10","OLS",0.254975985152518,0.0378122522374653
"11","OLS",0.267764268981728,0.0367386843179814
"12","OLS",0.266662794194962,0.0370194184315795
"13","OLS",0.267997210591416,0.0368352806313106
"14","OLS",0.270107778148006,0.0367602312683568
"15","OLS",0.266493311776711,0.037044171832261
"16","OLS",0.249152764192402,0.0383769953904231
"17","OLS",0.251943331634708,0.0380983586283647
"18","OLS",0.271713983050869,0.0367023476559195
"19","OLS",0.25559576804452,0.0378221479831007
"20","OLS",0.270913985612506,0.0367708345579311
"21","OLS",0.261807320007351,0.0372545948387843
"22","OLS",0.263608248924318,0.037212279885637
"23","OLS",0.270267226921001,0.0367047125998229
"24","OLS",0.264953737318792,0.0371581871580695
"25","OLS",0.27062611345911,0.0365707023609372
"26","OLS",0.267976833565359,0.0370114358757647
"27","OLS",0.272479860777317,0.0364356740549116
"28","OLS",0.256447246315088,0.0377164375969249
"29","OLS",0.263728176270918,0.0372098238508408
"30","OLS",0.270590498623773,0.0366036482019346
"31","OLS",0.262596128101587,0.0372527037655614
"32","OLS",0.266648420831601,0.0368988302778669
"33","OLS",0.269302730201079,0.0366986869156268
"34","OLS",0.267667084373907,0.036916092411067
"35","OLS",0.254608513050964,0.0379557934837816
"36","OLS",0.258065714166026,0.0376334247422217
"37","OLS",0.266951957371322,0.0370971170367523
"38","OLS",0.267565839734911,0.0367745321969956
"39","OLS",0.258977730889761,0.0374341279010388
"40","OLS",0.267382166191683,0.0368570374371805
"41","OLS",0.269622826453518,0.0366681455638683
"42","OLS",0.263588436504993,0.0373015644488422
"43","OLS",0.262215597178749,0.037136258595813
"44","OLS",0.268050571102515,0.0367755934861818
"45","OLS",0.256617863837251,0.0378447151149208
"46","OLS",0.268357422152114,0.036854600751474
"47","OLS",0.267558053828126,0.0369035766917442
"48","OLS",0.260468572278447,0.0374732765723371
"49","OLS",0.259953662311913,0.0374349929996653
"50","OLS",0.267701751552739,0.0369060324480487
"51","OLS",0.271612693675371,0.0365433387555764
"52","OLS",0.264060200488488,0.0372382061514143
"53","OLS",0.253468031111923,0.0379905099404543
"54","OLS",0.269705359836625,0.0367016323246049
"55","OLS",0.260041035443939,0.0374914678849334
"56","OLS",0.263992442240113,0.0371309530876449
"57","OLS",0.271777687987843,0.0365466402905101
"58","OLS",0.260442199250042,0.0374868475678401
"59","OLS",0.269607365070279,0.0366699202580824
"60","OLS",0.263213984411181,0.0371134078193695
"61","OLS",0.273526473864089,0.0364274846366247
"62","OLS",0.250559463007513,0.0383775044801597
"63","OLS",0.261619539740004,0.0372859405483205
"64","OLS",0.260317195401198,0.0375087028361303
"65","OLS",0.257249737042556,0.0376801424555022
"66","OLS",0.257337736302269,0.0378077617673203
"67","OLS",0.2676813292953,0.0369088041148982
"68","OLS",0.275502059950082,0.0361485471673353
"69","OLS",0.261569397890582,0.0372295727195527
"70","OLS",0.251059624635406,0.0381352552615403
"71","OLS",0.258349533734505,0.0376533962351157
"72","OLS",0.275160749636555,0.0361614447283777
"73","OLS",0.257230069808059,0.0379076880010331
"74","OLS",0.262736689418904,0.0372985732291282
"75","OLS",0.273033037805377,0.036498200566511
"76","OLS",0.261495078224013,0.0372683271689233
"77","OLS",0.268196692049724,0.0367351820313274
"78","OLS",0.26815962508295,0.0368717085240954
"79","OLS",0.258544494548024,0.0375911434678205
"80","OLS",0.262114429291126,0.0373138247393105
"81","OLS",0.259663349404993,0.0376191977618957
"82","OLS",0.25240443536208,0.0382000804200591
"83","OLS",0.264745221842956,0.0370737431277744
"84","OLS",0.264925924182654,0.0370123080304048
"85","OLS",0.254499538250807,0.0378879509683037
"86","OLS",0.264495769647702,0.0371896770604932
"87","OLS",0.250129769027096,0.0382555354260077
"88","OLS",0.263749481281221,0.0372627739238871
"89","OLS",0.263508510381109,0.0371827369245928
"90","OLS",0.268379319074805,0.0368497486421303
"91","OLS",0.256120658596785,0.0379083710295193
"92","OLS",0.265672786050367,0.0370409881383267
"93","OLS",0.26833031943392,0.0367405725097081
"94","OLS",0.256902736933775,0.0376191305809057
"95","OLS",0.268833082321017,0.0368474454923878
"96","OLS",0.251848733369012,0.0381116153264956
"97","OLS",0.260307971825656,0.0373969062824729
"98","OLS",0.263403554370118,0.037176007925827
"99","OLS",0.268147643177024,0.0368152877505434
"100","OLS",0.261825610456031,0.0372973800960995
"101","OLS",0.265571609930904,0.0370840896132338
"102","OLS",0.261666270389738,0.0373394671592355
"103","OLS",0.258943410657124,0.0375342809849756
