"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming",0.26235,0.005320761,0.0376264772,0.0004297098
"2","OLS",0.263785613,0.006680801,0.0371774459,0.0005409245
"3","WOLS",0.263873938,0.006408961,0.0371680233,0.0005237446
"4","York",0.262098705,0.005050254,0.0376510292,0.0004163114
"5","BLM1_fit",0.24263250173662,0.0179102645571532,0.0389255890619455,0.00147662255695252
"6","BLM1_fit_NoErrors",0.263496195228117,0.00673094577060747,0.0372050143261155,0.000542036377427988
"7","BLM3_fit",0.263584441148486,0.00661119472029175,0.0371994819641254,0.000533321221679739
