"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.927078755947,2.47181748230929
"2","OLS","Test2",0.7,0.005,18.9572829342682,1.67156961083526
"3","OLS","Test3",0.8,0.005,-9.85967928178945,1.22602854666229
"4","OLS","Test4",0.6,0.01,59.927078755947,4.88940808559681
"5","OLS","Test5",0.7,0.01,18.9572829342682,3.31476735627047
"6","OLS","Test6",0.8,0.01,-9.85967928178945,2.43508782396697
"7","OLS","Test7",0.6,0.02,59.927078755947,9.56962809612514
"8","OLS","Test8",0.7,0.02,18.9572829342682,6.51919101787047
"9","OLS","Test9",0.8,0.02,-9.85967928178945,4.80383775391539
"10","York","Test1",0.6,0.005,61.4289208914831,2.53955651648408
"11","York","Test2",0.7,0.005,19.4965765238977,1.703935670014
"12","York","Test3",0.8,0.005,-9.80884425603267,1.24365527747148
"13","York","Test4",0.6,0.01,61.4289208914831,5.02214920398131
"14","York","Test5",0.7,0.01,19.4965765238977,3.37845027085581
"15","York","Test6",0.8,0.01,-9.80884425603267,2.46985549327002
"16","York","Test7",0.6,0.02,61.4289208914831,9.82472926340745
"17","York","Test8",0.7,0.02,19.4965765238977,6.64253144490397
"18","York","Test9",0.8,0.02,-9.80884425603267,4.87149584625502
"19","Deming","Test1",0.6,0.005,61.3294094219074,2.53345335579968
"20","Deming","Test2",0.7,0.005,19.4827892006805,1.70110089020966
"21","Deming","Test3",0.8,0.005,-9.78039056120252,1.24215825320192
"22","Deming","Test4",0.6,0.01,61.3294094219074,5.01019769886273
"23","Deming","Test5",0.7,0.01,19.4827892006805,3.37287659672734
"24","Deming","Test6",0.8,0.01,-9.78039056120252,2.46690510951328
"25","Deming","Test7",0.6,0.02,61.3294094219074,9.80179179919867
"26","Deming","Test8",0.7,0.02,19.4827892006805,6.63175166472041
"27","Deming","Test9",0.8,0.02,-9.78039056120252,4.86576367794197
"28","WOLS","Test1",0.6,0.005,59.9740402639958,2.47496551086022
"29","WOLS","Test2",0.7,0.005,18.9598552335544,1.67304358042787
"30","WOLS","Test3",0.8,0.005,-9.87910095446756,1.22680883467069
"31","WOLS","Test4",0.6,0.01,59.9740402639958,4.89557449464382
"32","WOLS","Test5",0.7,0.01,18.9598552335544,3.31766576823651
"33","WOLS","Test6",0.8,0.01,-9.87910095446756,2.43662565126817
"34","WOLS","Test7",0.6,0.02,59.9740402639958,9.58146918217381
"35","WOLS","Test8",0.7,0.02,18.9598552335544,6.52479788252111
"36","WOLS","Test9",0.8,0.02,-9.87910095446756,4.80682554320248
"37","BayesianBLM1","Test1",0.6,0.005,59.923516707922,0.278964316276439
"38","BayesianBLM1","Test2",0.7,0.005,18.967058992232,0.191544652754505
"39","BayesianBLM1","Test3",0.8,0.005,-9.85177507186663,0.14333196181916
"40","BayesianBLM1","Test4",0.6,0.01,59.9246966248115,0.288283063216336
"41","BayesianBLM1","Test5",0.7,0.01,18.9623142335157,0.188796367105513
"42","BayesianBLM1","Test6",0.8,0.01,-9.85254074331535,0.147382900115043
"43","BayesianBLM1","Test7",0.6,0.02,59.9229466640462,0.278411346727003
"44","BayesianBLM1","Test8",0.7,0.02,18.9640073442943,0.189518254483304
"45","BayesianBLM1","Test9",0.8,0.02,-9.85036700057073,0.138702184317218
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.9189612646625,0.283698838520723
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.9480334522638,0.185719627138848
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-9.86733991296279,0.135875172374951
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.9206325806287,0.278836976582297
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,18.9509404583083,0.196240866217067
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-9.8683420073958,0.142458634401926
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,59.9204867379181,0.287505588726551
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,18.9511067166021,0.198553364443727
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-9.86540643724538,0.137345240606757
"55","infTempBayesianBLM3","Test1",0.6,0.005,60.0117031470268,0.293369713682441
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.9764063369119,0.185369838325533
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.87121002772947,0.136512246123756
"58","infTempBayesianBLM3","Test4",0.6,0.01,60.010677904707,0.265018440896465
"59","infTempBayesianBLM3","Test5",0.7,0.01,18.9801373726869,0.184835060045202
"60","infTempBayesianBLM3","Test6",0.8,0.01,-9.86892222759936,0.133131520530922
"61","infTempBayesianBLM3","Test7",0.6,0.02,60.0101881436998,0.279726369351761
"62","infTempBayesianBLM3","Test8",0.7,0.02,18.9814867661285,0.191831904550174
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.87650149458561,0.134335313257769
