"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",2.606935e-01,8.417505e-05,3.736922e-02,6.773659e-06
"2","BLM1_fit_NoErrors",2.609369e-01,9.088875e-05,3.734849e-02,7.283764e-06
"3","BLM3_fit",2.600542e-01,8.279424e-05,3.742005e-02,6.668295e-06
"4","Deming",2.580709e-01,5.827172e-04,3.737332e-02,4.597157e-05
"5","OLS",2.613099e-01,1.633107e-04,3.737907e-02,1.313304e-05
"6","WOLS",2.613422e-01,1.665010e-04,3.738145e-02,1.327124e-05
"7","York",2.558142e-01,7.765344e-04,3.795469e-02,5.081476e-05
