"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.5929261389996,2.45647629395853
"2","OLS","Test2",0.7,0.005,18.8418093858742,1.66419010388108
"3","OLS","Test3",0.8,0.005,-9.86359898362389,1.22199575791223
"4","OLS","Test4",0.6,0.01,59.5929261389996,4.85933887002273
"5","OLS","Test5",0.7,0.01,18.8418093858742,3.30024589669608
"6","OLS","Test6",0.8,0.01,-9.86359898362389,2.42713293731009
"7","OLS","Test7",0.6,0.02,59.5929261389996,9.5118168873455
"8","OLS","Test8",0.7,0.02,18.8418093858742,6.49105985562278
"9","OLS","Test9",0.8,0.02,-9.86359898362389,4.78835582671616
"10","York","Test1",0.6,0.005,60.7637778997334,2.47074182226112
"11","York","Test2",0.7,0.005,19.7916103471387,1.67254138573588
"12","York","Test3",0.8,0.005,-9.0509839226529,1.22752328210595
"13","York","Test4",0.6,0.01,60.7637778997334,4.88743738996726
"14","York","Test5",0.7,0.01,19.7916103471387,3.31675808181973
"15","York","Test6",0.8,0.01,-9.0509839226529,2.43808769231532
"16","York","Test7",0.6,0.02,60.7637778997334,9.56636179322538
"17","York","Test8",0.7,0.02,19.7916103471387,6.5233490511136
"18","York","Test9",0.8,0.02,-9.0509839226529,4.80987537061475
"19","Deming","Test1",0.6,0.005,60.8276191745003,2.47393537635355
"20","Deming","Test2",0.7,0.005,19.8100495952682,1.67406748960707
"21","Deming","Test3",0.8,0.005,-9.05554080809986,1.2283508056592
"22","Deming","Test4",0.6,0.01,60.8276191745003,4.89369591982006
"23","Deming","Test5",0.7,0.01,19.8100495952682,3.31976063438327
"24","Deming","Test6",0.8,0.01,-9.05554080809986,2.43971968142307
"25","Deming","Test7",0.6,0.02,60.8276191745003,9.57839091452007
"26","Deming","Test8",0.7,0.02,19.8100495952682,6.5291636057043
"27","Deming","Test9",0.8,0.02,-9.05554080809986,4.81305023995321
"28","WOLS","Test1",0.6,0.005,59.6289998462391,2.45766478673653
"29","WOLS","Test2",0.7,0.005,18.8607225350066,1.66478015168258
"30","WOLS","Test3",0.8,0.005,-9.85373814588422,1.22232987167519
"31","WOLS","Test4",0.6,0.01,59.6289998462391,4.86167007437837
"32","WOLS","Test5",0.7,0.01,18.8607225350066,3.30140795377935
"33","WOLS","Test6",0.8,0.01,-9.85373814588422,2.42779261305009
"34","WOLS","Test7",0.6,0.02,59.6289998462391,9.51630539282257
"35","WOLS","Test8",0.7,0.02,18.8607225350066,6.49331467854523
"36","WOLS","Test9",0.8,0.02,-9.85373814588422,4.78964209475686
"37","BayesianBLM1","Test1",0.6,0.005,59.6232450930789,0.370157800976558
"38","BayesianBLM1","Test2",0.7,0.005,19.3176262188618,0.250296000370576
"39","BayesianBLM1","Test3",0.8,0.005,-9.1516191450399,0.183694086365305
"40","BayesianBLM1","Test4",0.6,0.01,59.6226502454445,0.370085586369243
"41","BayesianBLM1","Test5",0.7,0.01,19.3165829825995,0.249984412804444
"42","BayesianBLM1","Test6",0.8,0.01,-9.15039996540283,0.183789788331663
"43","BayesianBLM1","Test7",0.6,0.02,59.6146558396768,0.370068538492699
"44","BayesianBLM1","Test8",0.7,0.02,19.3155078535424,0.249806619947934
"45","BayesianBLM1","Test9",0.8,0.02,-9.1489627883558,0.183730204772853
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.6215327297088,0.372390504541711
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,19.3172842700565,0.251849021002044
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-9.15163303236685,0.185264327164162
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.6174602676443,0.37274852341797
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,19.317056732022,0.251900618380182
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-9.15471158273547,0.185399582479849
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,59.6205229546968,0.372523177494674
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,19.3122807295331,0.251811451886163
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-9.15705009927463,0.184945483120761
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.6563419228297,0.372310537230995
"56","infTempBayesianBLM3","Test2",0.7,0.005,19.3171992247939,0.251913249431633
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.17106545261735,0.185101023167097
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.6578273735871,0.372159837869144
"59","infTempBayesianBLM3","Test5",0.7,0.01,19.3134443458739,0.25147893593421
"60","infTempBayesianBLM3","Test6",0.8,0.01,-9.16802141282763,0.184941285339749
"61","infTempBayesianBLM3","Test7",0.6,0.02,59.6556931331516,0.372572710784983
"62","infTempBayesianBLM3","Test8",0.7,0.02,19.3204075956386,0.251753418981546
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.17227313998998,0.184904064790725
