,Type,Model,D47,D47se,Tc,se
64,BayClump,WOLS,0.6,0.005,60.28657369,3.147309116
65,BayClump,WOLS,0.7,0.005,18.59404534,2.107289255
66,BayClump,WOLS,0.8,0.005,-9.803959398,1.549672168
67,BayClump,WOLS,0.6,0.01,59.70305791,3.130792981
68,BayClump,WOLS,0.7,0.01,16.25182646,2.056903395
69,BayClump,WOLS,0.8,0.01,-8.729979251,1.568711115
70,BayClump,WOLS,0.6,0.02,63.35422331,3.235095993
71,BayClump,WOLS,0.7,0.02,20.32124175,2.144967484
72,BayClump,WOLS,0.8,0.02,-13.4930563,1.485453227
73,Bayesian,BLM1_fit,0.6,0.005,60.40327218,1.440650032
74,Bayesian,BLM1_fit,0.7,0.005,19.21508468,0.972486496
75,Bayesian,BLM1_fit,0.8,0.005,-9.71116379,0.712252303
76,Bayesian,BLM1_fit,0.6,0.01,60.40182165,2.860367112
77,Bayesian,BLM1_fit,0.7,0.01,19.21663081,1.930979958
78,Bayesian,BLM1_fit,0.8,0.01,-9.710255651,1.414947203
79,Bayesian,BLM1_fit,0.6,0.02,60.40249917,5.626831253
80,Bayesian,BLM1_fit,0.7,0.02,19.21893371,3.809876163
81,Bayesian,BLM1_fit,0.8,0.02,-9.710520828,2.802368133
82,Bayesian,BLM1_fit_NoErrors,0.6,0.005,60.37952781,1.43982398
83,Bayesian,BLM1_fit_NoErrors,0.7,0.005,19.18516774,0.972545666
84,Bayesian,BLM1_fit_NoErrors,0.8,0.005,-9.742059116,0.713496436
85,Bayesian,BLM1_fit_NoErrors,0.6,0.01,60.37921291,2.859484027
86,Bayesian,BLM1_fit_NoErrors,0.7,0.01,19.1875791,1.932625106
87,Bayesian,BLM1_fit_NoErrors,0.8,0.01,-9.742605603,1.417224538
88,Bayesian,BLM1_fit_NoErrors,0.6,0.02,60.37979177,5.614723896
89,Bayesian,BLM1_fit_NoErrors,0.7,0.02,19.18753017,3.807636146
90,Bayesian,BLM1_fit_NoErrors,0.8,0.02,-9.745392896,2.80362099
91,Bayesian,BLM3,0.6,0.005,60.3743426,1.439613896
92,Bayesian,BLM3,0.7,0.005,19.22916599,0.971513924
93,Bayesian,BLM3,0.8,0.005,-9.677784982,0.711494886
94,Bayesian,BLM3,0.6,0.01,60.3722406,2.848773462
95,Bayesian,BLM3,0.7,0.01,19.22835493,1.929031849
96,Bayesian,BLM3,0.8,0.01,-9.6790387,1.415207479
97,Bayesian,BLM3,0.6,0.02,60.37332663,5.619490834
98,Bayesian,BLM3,0.7,0.02,19.22489263,3.803498495
99,Bayesian,BLM3,0.8,0.02,-9.678825019,2.801956041
