,Type,Model,D47,D47se,Tc,se
1,Classic,OLS,0.6,0.005,59.05377391,2.424417628
2,Classic,OLS,0.7,0.005,18.75742278,1.648965592
3,Classic,OLS,0.8,0.005,-9.719516655,1.213826468
4,Classic,OLS,0.6,0.01,59.05377391,4.796518335
5,Classic,OLS,0.7,0.01,18.75742278,3.270298538
6,Classic,OLS,0.8,0.01,-9.719516655,2.411027004
7,Classic,OLS,0.6,0.02,59.05377391,9.391097895
8,Classic,OLS,0.7,0.02,18.75742278,6.433090249
9,Classic,OLS,0.8,0.02,-9.719516655,4.757042923
10,Classic,York,0.6,0.005,58.02741198,2.358757542
11,Classic,York,0.7,0.005,18.66556237,1.617569481
12,Classic,York,0.8,0.005,-9.339623872,1.196940168
13,Classic,York,0.6,0.01,58.02741198,4.667822912
14,Classic,York,0.7,0.01,18.66556237,3.20853461
15,Classic,York,0.8,0.01,-9.339623872,2.377734795
16,Classic,York,0.6,0.02,58.02741198,9.143677389
17,Classic,York,0.7,0.02,18.66556237,6.313510201
18,Classic,York,0.8,0.02,-9.339623872,4.692315283
19,Classic,Deming,0.6,0.005,59.1418475,2.430075779
20,Classic,Deming,0.7,0.005,18.76526984,1.651648461
21,Classic,Deming,0.8,0.005,-9.751875914,1.21526094
22,Classic,Deming,0.6,0.01,59.1418475,4.80760565
23,Classic,Deming,0.7,0.01,18.76526984,3.275575526
24,Classic,Deming,0.8,0.01,-9.751875914,2.413854778
25,Classic,Deming,0.6,0.02,59.1418475,9.412403259
26,Classic,Deming,0.7,0.02,18.76526984,6.44330364
27,Classic,Deming,0.8,0.02,-9.751875914,4.762539396
28,Classic,WOLS,0.6,0.005,59.05377387,2.424417626
29,Classic,WOLS,0.7,0.005,18.75742277,1.648965591
30,Classic,WOLS,0.8,0.005,-9.719516648,1.213826468
31,Classic,WOLS,0.6,0.01,59.05377387,4.796518331
32,Classic,WOLS,0.7,0.01,18.75742277,3.270298536
33,Classic,WOLS,0.8,0.01,-9.719516648,2.411027002
34,Classic,WOLS,0.6,0.02,59.05377387,9.391097886
35,Classic,WOLS,0.7,0.02,18.75742277,6.433090245
36,Classic,WOLS,0.8,0.02,-9.719516648,4.75704292
37,BayClump,Deming,0.6,0.005,58.05098051,5.802016142
38,BayClump,Deming,0.7,0.005,18.63384166,3.955102557
39,BayClump,Deming,0.8,0.005,-10.05383875,2.89539895
40,BayClump,Deming,0.6,0.01,59.84806443,5.897929462
41,BayClump,Deming,0.7,0.01,19.27785531,3.981513526
42,BayClump,Deming,0.8,0.01,-9.946769499,2.898944912
43,BayClump,Deming,0.6,0.02,67.19157526,6.301079485
44,BayClump,Deming,0.7,0.02,22.52211144,4.116381692
45,BayClump,Deming,0.8,0.02,-10.91696007,2.866921482
46,BayClump,OLS,0.6,0.005,57.68578524,5.762688166
47,BayClump,OLS,0.7,0.005,18.26591785,3.929136521
48,BayClump,OLS,0.8,0.005,-8.676360597,2.933343904
49,BayClump,OLS,0.6,0.01,61.67938911,5.975539243
50,BayClump,OLS,0.7,0.01,20.2726832,4.011294794
51,BayClump,OLS,0.8,0.01,-10.26625743,2.880580793
52,BayClump,OLS,0.6,0.02,61.18410177,5.948857079
53,BayClump,OLS,0.7,0.02,17.64722103,3.904037069
54,BayClump,OLS,0.8,0.02,-10.55281047,2.871139616
55,BayClump,York,0.6,0.005,58.0186928,5.663694049
56,BayClump,York,0.7,0.005,17.06894616,3.805849845
57,BayClump,York,0.8,0.005,-10.14291803,2.831028208
58,BayClump,York,0.6,0.01,56.47391815,5.584426601
59,BayClump,York,0.7,0.01,17.57810331,3.825974926
60,BayClump,York,0.8,0.01,-9.200652515,2.861584918
61,BayClump,York,0.6,0.02,60.5553159,5.795495586
62,BayClump,York,0.7,0.02,20.69452082,3.950716156
63,BayClump,York,0.8,0.02,-11.15901335,2.798325535
64,BayClump,WOLS,0.6,0.005,57.82429689,5.770200877
65,BayClump,WOLS,0.7,0.005,18.22472779,3.927614454
