"","Model","Sample","D47","D47error","meanTemp","Temp_L","Temp_H"
"1","OLS_classic","Test1",0.6,0.005,59.0475241937292,54.2983483112807,63.7967000761777
"2","OLS_classic","Test2",0.7,0.005,18.7702849241102,15.5395354637059,22.0010343845145
"3","OLS_classic","Test3",0.8,0.005,-9.69749243305415,-12.0759712173268,-7.31901364878147
"4","OLS_classic","Test4",0.6,0.01,59.0475241937292,49.6516005763308,68.4434478111276
"5","OLS_classic","Test5",0.7,0.01,18.7702849241102,12.3629028751869,25.1776669730335
"6","OLS_classic","Test6",0.8,0.01,-9.69749243305415,-14.4218828063466,-4.97310205976167
"7","OLS_classic","Test7",0.6,0.02,59.0475241937292,40.6510482402245,77.4440001472339
"8","OLS_classic","Test8",0.7,0.02,18.7702849241102,6.16606889223956,31.3745009559809
"9","OLS_classic","Test9",0.8,0.02,-9.69749243305415,-19.0189272395974,-0.376057626510853
"10","OLS_simple","Test1",0.6,0.005,59.0475241937292,33.0988901408039,92.9515776355001
"11","OLS_simple","Test2",0.7,0.005,18.7702849241102,0.690691894859526,40.979591798776
"12","OLS_simple","Test3",0.8,0.005,-9.69749243305415,-23.2154037678011,6.28134245486916
"13","OLS_simple","Test4",0.6,0.01,59.0475241937292,33.0988901408039,92.9515776355001
"14","OLS_simple","Test5",0.7,0.01,18.7702849241102,0.690691894859526,40.979591798776
"15","OLS_simple","Test6",0.8,0.01,-9.69749243305415,-23.2154037678011,6.28134245486916
"16","OLS_simple","Test7",0.6,0.02,59.0475241937292,33.0988901408039,92.9515776355001
"17","OLS_simple","Test8",0.7,0.02,18.7702849241102,0.690691894859526,40.979591798776
"18","OLS_simple","Test9",0.8,0.02,-9.69749243305415,-23.2154037678011,6.28134245486916
"19","York_classic","Test1",0.6,0.005,56.5213082213205,52.0592236564847,60.9833927861563
"20","York_classic","Test2",0.7,0.005,18.342234735996,15.2508288687346,21.4336406032575
"21","York_classic","Test3",0.8,0.005,-9.05120964336919,-11.3537386079764,-6.74868067876202
"22","York_classic","Test4",0.6,0.01,56.5213082213205,47.6883204190285,65.3542960236125
"23","York_classic","Test5",0.7,0.01,18.342234735996,12.2090682494913,24.4754012225008
"24","York_classic","Test6",0.8,0.01,-9.05120964336919,-13.6258122064424,-4.47660708029598
"25","York_classic","Test7",0.6,0.02,56.5213082213205,39.2079452420541,73.8346712005869
"26","York_classic","Test8",0.7,0.02,18.342234735996,6.26927220327185,30.4151972687202
"27","York_classic","Test9",0.8,0.02,-9.05120964336919,-18.0812351934773,-0.0211840932610503
"28","York_simple","Test1",0.6,0.005,56.5213082213206,31.8200961430393,88.3958883732932
"29","York_simple","Test2",0.7,0.005,18.342234735996,0.848053023710236,39.6812633448761
"30","York_simple","Test3",0.8,0.005,-9.05120964336919,-22.2715138640736,6.50663094438687
"31","York_simple","Test4",0.6,0.01,56.5213082213206,31.8200961430393,88.3958883732932
"32","York_simple","Test5",0.7,0.01,18.342234735996,0.848053023710236,39.6812633448761
"33","York_simple","Test6",0.8,0.01,-9.05120964336919,-22.2715138640736,6.50663094438687
"34","York_simple","Test7",0.6,0.02,56.5213082213206,31.8200961430393,88.3958883732932
"35","York_simple","Test8",0.7,0.02,18.342234735996,0.848053023710236,39.6812633448761
"36","York_simple","Test9",0.8,0.02,-9.05120964336919,-22.2715138640736,6.50663094438687
"37","Deming_classic","Test1",0.6,0.005,56.7023339288289,52.2485787926108,61.156089065047
"38","Deming_classic","Test2",0.7,0.005,18.579957318522,15.4918867408331,21.6680278962109
"39","Deming_classic","Test3",0.8,0.005,-8.79064184176019,-11.0918548827362,-6.48942880078423
"40","Deming_classic","Test4",0.6,0.01,56.7023339288289,47.8856180115875,65.5190498460703
"41","Deming_classic","Test5",0.7,0.01,18.579957318522,12.4533149802827,24.7065996567612
"42","Deming_classic","Test6",0.8,0.01,-8.79064184176019,-13.3626769262719,-4.21860675724846
"43","Deming_classic","Test7",0.6,0.02,56.7023339288289,39.4200462512137,73.9846216064441
"44","Deming_classic","Test8",0.7,0.02,18.579957318522,6.51948226566913,30.6404323713748
"45","Deming_classic","Test9",0.8,0.02,-8.79064184176019,-17.8157803241883,0.23449664066788
"46","Deming_simple","Test1",0.6,0.005,56.7023339288289,32.0068443112137,88.5622901268873
"47","Deming_simple","Test2",0.7,0.005,18.579957318522,1.07700235884653,39.9282127302034
"48","Deming_simple","Test3",0.8,0.005,-8.79064184176019,-22.0239612110587,6.78250924072341
"49","Deming_simple","Test4",0.6,0.01,56.7023339288289,32.0068443112137,88.5622901268873
"50","Deming_simple","Test5",0.7,0.01,18.579957318522,1.07700235884653,39.9282127302034
"51","Deming_simple","Test6",0.8,0.01,-8.79064184176019,-22.0239612110587,6.78250924072341
"52","Deming_simple","Test7",0.6,0.02,56.7023339288289,32.0068443112137,88.5622901268873
"53","Deming_simple","Test8",0.7,0.02,18.579957318522,1.07700235884653,39.9282127302034
"54","Deming_simple","Test9",0.8,0.02,-8.79064184176019,-22.0239612110587,6.78250924072341
"55","WOLS_classic","Test1",0.6,0.005,58.8497436872697,54.1114735996985,63.5880137748408
"56","WOLS_classic","Test2",0.7,0.005,18.6536787407618,15.4284764650707,21.878881016453
"57","WOLS_classic","Test3",0.8,0.005,-9.77024760359836,-12.1455122410669,-7.39498296612984
"58","WOLS_classic","Test4",0.6,0.01,58.8497436872697,49.475225009705,68.2242623648343
"59","WOLS_classic","Test5",0.7,0.01,18.6536787407618,12.2572277284526,25.050129753071
"60","WOLS_classic","Test6",0.8,0.01,-9.77024760359836,-14.4882883522133,-5.05220685498346
"61","WOLS_classic","Test7",0.6,0.02,58.8497436872697,40.4945312869233,77.204956087616
"62","WOLS_classic","Test8",0.7,0.02,18.6536787407618,6.07069685132715,31.2366606301965
"63","WOLS_classic","Test9",0.8,0.02,-9.77024760359836,-19.0792877209926,-0.461207486204083
"64","WOLS_simple","Test1",0.6,0.005,58.8497436872697,32.9560311446133,92.6662098695281
"65","WOLS_simple","Test2",0.7,0.005,18.6536787407618,0.603099939590436,40.8212276890451
"66","WOLS_simple","Test3",0.8,0.005,-9.77024760359836,-23.270933325109,6.18532247083721
"67","WOLS_simple","Test4",0.6,0.01,58.8497436872697,32.9560311446133,92.6662098695281
"68","WOLS_simple","Test5",0.7,0.01,18.6536787407618,0.603099939590436,40.8212276890451
"69","WOLS_simple","Test6",0.8,0.01,-9.77024760359836,-23.270933325109,6.18532247083721
"70","WOLS_simple","Test7",0.6,0.02,58.8497436872697,32.9560311446133,92.6662098695281
"71","WOLS_simple","Test8",0.7,0.02,18.6536787407618,0.603099939590436,40.8212276890451
"72","WOLS_simple","Test9",0.8,0.02,-9.77024760359836,-23.270933325109,6.18532247083721
"73","BayesianBLM1_noninformative","Test1",0.6,0.005,59.002713602766,33.9975786717848,91.8217507334541
"74","BayesianBLM1_noninformative","Test2",0.7,0.005,17.5083356807941,0.458619558308158,38.2484360917736
"75","BayesianBLM1_noninformative","Test3",0.8,0.005,-11.5122736622035,-24.2727629709072,3.28516755966689
"76","BayesianBLM1_noninformative","Test4",0.6,0.01,58.9986011724883,33.9702946212424,91.8162636672538
"77","BayesianBLM1_noninformative","Test5",0.7,0.01,17.5169089650533,0.467345314256704,38.2671183894102
"78","BayesianBLM1_noninformative","Test6",0.8,0.01,-11.5073867555266,-24.2625844779215,3.28305499378604
"79","BayesianBLM1_noninformative","Test7",0.6,0.02,58.9892307636861,33.9603088196015,91.8182463787182
"80","BayesianBLM1_noninformative","Test8",0.7,0.02,17.5074896095553,0.440293127928953,38.2546392534037
"81","BayesianBLM1_noninformative","Test9",0.8,0.02,-11.5139680469783,-24.2606534098464,3.26187895934095
"82","BayesianBLM1_NoErrors_noninformative","Test1",0.6,0.005,59.1880639802302,33.751243774531,92.9047634622466
"83","BayesianBLM1_NoErrors_noninformative","Test2",0.7,0.005,17.5711954032536,0.241809449970162,38.8048172140452
"84","BayesianBLM1_NoErrors_noninformative","Test3",0.8,0.005,-11.5248236521252,-24.5083751525786,3.61100994015879
"85","BayesianBLM1_NoErrors_noninformative","Test4",0.6,0.01,59.1761618165424,33.7376401784308,92.896278686162
"86","BayesianBLM1_NoErrors_noninformative","Test5",0.7,0.01,17.5660142600361,0.203480253550083,38.8345094562766
"87","BayesianBLM1_NoErrors_noninformative","Test6",0.8,0.01,-11.5243349571966,-24.5427494637807,3.62779045997024
"88","BayesianBLM1_NoErrors_noninformative","Test7",0.6,0.02,59.187739508171,33.7225706792335,92.9700089225235
"89","BayesianBLM1_NoErrors_noninformative","Test8",0.7,0.02,17.5710284058321,0.185700686617508,38.8319485263996
"90","BayesianBLM1_NoErrors_noninformative","Test9",0.8,0.02,-11.5256546433565,-24.5396272812481,3.61458052878316
"91","BayesianBLM1_informative","Test1",0.6,0.005,58.1986022581949,33.59381097839,90.1638308400007
"92","BayesianBLM1_informative","Test2",0.7,0.005,17.748915166429,0.877373509656707,38.2568211506148
"93","BayesianBLM1_informative","Test3",0.8,0.005,-10.7686960926005,-23.4479228111033,4.01920370335586
"94","BayesianBLM1_informative","Test4",0.6,0.01,58.1818532888595,33.5696338677882,90.1670656090157
"95","BayesianBLM1_informative","Test5",0.7,0.01,17.7500218473741,0.883345941408379,38.3046384926926
"96","BayesianBLM1_informative","Test6",0.8,0.01,-10.7651321040927,-23.4430351695657,4.02810286226435
"97","BayesianBLM1_informative","Test7",0.6,0.02,58.1969404640807,33.6357030611089,90.1682068576609
"98","BayesianBLM1_informative","Test8",0.7,0.02,17.7519026488843,0.869360362717487,38.2716566555205
"99","BayesianBLM1_informative","Test9",0.8,0.02,-10.7648024509044,-23.4520873087221,4.02118638229399
"100","BayesianBLM1_NoErrors_informative","Test1",0.6,0.005,58.3350987293189,33.3348739602164,91.1964329590934
"101","BayesianBLM1_NoErrors_informative","Test2",0.7,0.005,17.817942379426,0.630451041301114,38.8757517654818
"102","BayesianBLM1_NoErrors_informative","Test3",0.8,0.005,-10.746343498582,-23.663313243392,4.37214249080796
"103","BayesianBLM1_NoErrors_informative","Test4",0.6,0.01,58.3322948434992,33.3410277813257,91.102563638053
"104","BayesianBLM1_NoErrors_informative","Test5",0.7,0.01,17.810681527768,0.642270890314364,38.8398086947182
