"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2803512213,0.0003003826,3.564186e-02,2.350353e-05
"2","BLM1_fit_NoErrors",0.2796867457,0.0003114731,3.568233e-02,2.403881e-05
"3","BLM3_fit",0.2802829889,0.0003091002,3.564827e-02,2.418580e-05
"4","Deming",0.2575024010,0.0017055099,3.741353e-02,1.342217e-04
"5","OLS",0.2608409990,0.0005464291,3.741555e-02,4.411883e-05
"6","WOLS",0.2610013202,0.0005200757,3.742358e-02,4.183307e-05
"7","York",0.2482368544,0.0010467605,3.843137e-02,8.373462e-05
