"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.5706900279301,2.48264377306845
"2","OLS","Test2",0.7,0.005,18.4590608532213,1.67572989700597
"3","OLS","Test3",0.8,0.005,-10.4131608450633,1.22763094259648
"4","OLS","Test4",0.6,0.01,59.5706900279301,4.91053038089342
"5","OLS","Test5",0.7,0.01,18.4590608532213,3.32289916711903
"6","OLS","Test6",0.8,0.01,-10.4131608450633,2.43821292587774
"7","OLS","Test7",0.6,0.02,59.5706900279301,9.60986781113633
"8","OLS","Test8",0.7,0.02,18.4590608532213,6.53473338160398
"9","OLS","Test9",0.8,0.02,-10.4131608450633,4.80978157111781
"10","York","Test1",0.6,0.005,53.093830191464,2.19920304841634
"11","York","Test2",0.7,0.005,16.0725318633109,1.53558547620338
"12","York","Test3",0.8,0.005,-10.6623411454858,1.14951227341601
"13","York","Test4",0.6,0.01,53.093830191464,4.35452304884257
"14","York","Test5",0.7,0.01,16.0725318633109,3.04696892295539
"15","York","Test6",0.8,0.01,-10.6623411454858,2.28405344707403
"16","York","Test7",0.6,0.02,53.093830191464,8.53920962495067
"17","York","Test8",0.7,0.02,16.0725318633109,5.99962359048163
"18","York","Test9",0.8,0.02,-10.6623411454858,4.50950156430417
"19","Deming","Test1",0.6,0.005,53.1999466391187,2.21330593497657
"20","Deming","Test2",0.7,0.005,15.9764059632286,1.54242330044735
"21","Deming","Test3",0.8,0.005,-10.8611434378726,1.15317306685625
"22","Deming","Test4",0.6,0.01,53.1999466391187,4.38218224286231
"23","Deming","Test5",0.7,0.01,15.9764059632286,3.06042166177059
"24","Deming","Test6",0.8,0.01,-10.8611434378726,2.29126862302854
"25","Deming","Test7",0.6,0.02,53.1999466391187,8.59244641682409
"26","Deming","Test8",0.7,0.02,15.9764059632286,6.02567208846619
"27","Deming","Test9",0.8,0.02,-10.8611434378726,4.52352032047281
"28","WOLS","Test1",0.6,0.005,59.0179108311265,2.44172222925641
"29","WOLS","Test2",0.7,0.005,18.4825397486858,1.6566379493421
"30","WOLS","Test3",0.8,0.005,-10.1054080766173,1.21757889103486
"31","WOLS","Test4",0.6,0.01,59.0179108311265,4.83037783085854
"32","WOLS","Test5",0.7,0.01,18.4825397486858,3.2853609707949
"33","WOLS","Test6",0.8,0.01,-10.1054080766173,2.41840505172371
"34","WOLS","Test7",0.6,0.02,59.0179108311265,9.45597477025115
"35","WOLS","Test8",0.7,0.02,18.4825397486858,6.46213344086937
"36","WOLS","Test9",0.8,0.02,-10.1054080766173,4.77130989637095
"37","BayesianBLM1","Test1",0.6,0.005,59.849564178488,0.601755024965219
"38","BayesianBLM1","Test2",0.7,0.005,18.5655412347928,0.397984523793309
"39","BayesianBLM1","Test3",0.8,0.005,-10.4065572371834,0.293540235777963
"40","BayesianBLM1","Test4",0.6,0.01,59.8581136500158,0.575987886533309
"41","BayesianBLM1","Test5",0.7,0.01,18.5556256466212,0.402016400836691
"42","BayesianBLM1","Test6",0.8,0.01,-10.4044992579434,0.292864789672198
"43","BayesianBLM1","Test7",0.6,0.02,59.858905854914,0.573635725402628
"44","BayesianBLM1","Test8",0.7,0.02,18.5554073615037,0.386645032653566
"45","BayesianBLM1","Test9",0.8,0.02,-10.4104333841548,0.297736356156289
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,60.1074857999017,0.625368744433303
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.566134037944,0.389258026413785
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-10.5035378777235,0.292983184612882
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,60.1017317072586,0.596961341647436
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,18.5555176725842,0.420056684181092
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-10.5106014137386,0.307848134583689
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,60.1099729265095,0.612867244409108
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,18.5741554072181,0.389439872076596
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-10.5168627279094,0.279060376878733
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.7444314387003,0.57569917007572
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.5287264265978,0.411406199188544
"57","infTempBayesianBLM3","Test3",0.8,0.005,-10.4217901568526,0.303267964933264
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.7672831064773,0.580275342305926
"59","infTempBayesianBLM3","Test5",0.7,0.01,18.5287629780115,0.41253978242721
"60","infTempBayesianBLM3","Test6",0.8,0.01,-10.4252209850399,0.303232998290248
"61","infTempBayesianBLM3","Test7",0.6,0.02,59.7221323694988,0.615118515019362
"62","infTempBayesianBLM3","Test8",0.7,0.02,18.5174000587899,0.392670937567008
"63","infTempBayesianBLM3","Test9",0.8,0.02,-10.4160688020424,0.294619695147644
