"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2604164518,0.0002534122,3.741973e-02,2.024360e-05
"2","BLM1_fit_NoErrors",0.2573180330,0.0002603417,3.767940e-02,2.081025e-05
"3","BLM3_fit",0.2555781645,0.0002679999,3.780973e-02,2.140015e-05
"4","Deming",0.2604947737,0.0017103084,3.723192e-02,1.340558e-04
"5","OLS",0.2615368264,0.0005349407,3.737232e-02,4.362737e-05
"6","WOLS",0.2611941872,0.0005480868,3.738968e-02,4.410882e-05
"7","York",0.2472418516,0.0010904456,3.850922e-02,8.598707e-05
