"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming",0.260575961,0.004639875,0.0376376514,0.0004065228
"2","OLS",0.260598807,0.004517858,0.0376361219,0.0003954245
"3","WOLS",0.260446064,0.004543341,0.0376528454,0.0004012199
"4","York",0.260390654,0.004476946,0.0376601789,0.0003946204
"5","BLM1_fit",0.260632501030599,0.00470228980347109,0.0376314017118469,0.000395498327109296
"6","BLM1_fit_NoErrors",0.260631270241334,0.00465149211551276,0.037635318769498,0.000391671614754743
"7","BLM3_fit",0.260524049468197,0.00466232490946003,0.0376441809371529,0.000390477469610308
