"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2641684324,0.0001593132,3.684162e-02,1.233520e-05
"2","BLM1_fit_NoErrors",0.2645134125,0.0001536170,3.682521e-02,1.189447e-05
"3","BLM3_fit",0.2642034502,0.0001546744,3.683691e-02,1.200050e-05
"4","Deming",0.2646348451,0.0008284249,3.699299e-02,6.497957e-05
"5","OLS",0.2643429882,0.0002739828,3.716078e-02,2.195791e-05
"6","WOLS",0.2635412706,0.0003027843,3.722328e-02,2.457969e-05
"7","York",0.2607173674,0.0006166816,3.747202e-02,4.781171e-05
