"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2764861962,0.0004676202,3.552719e-02,3.801361e-05
"2","BLM1_fit_NoErrors",0.2770053799,0.0004849579,3.548499e-02,3.967674e-05
"3","BLM3_fit",0.2787265553,0.0004557787,3.534487e-02,3.710086e-05
"4","Deming",0.2574587734,0.0023494217,3.729801e-02,1.847414e-04
"5","OLS",0.2610021226,0.0006926391,3.738135e-02,5.576163e-05
"6","WOLS",0.2604588908,0.0007207269,3.745597e-02,5.800359e-05
"7","York",0.2444541876,0.0013278335,3.872587e-02,1.044192e-04
