"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2436512687,0.0003788796,3.914911e-02,3.032836e-05
"2","BLM1_fit_NoErrors",0.2434774357,0.0003804839,3.916254e-02,3.048115e-05
"3","BLM3_fit",0.2421514607,0.0003449668,3.925907e-02,2.752002e-05
"4","Deming",0.2588452509,0.0024488168,3.725985e-02,1.925520e-04
"5","OLS",0.2613227355,0.0007313305,3.737234e-02,5.832177e-05
"6","WOLS",0.2608727629,0.0007246412,3.738315e-02,5.795408e-05
"7","York",0.2422995205,0.0012908827,3.888977e-02,1.010071e-04
