"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.2938849689801,2.36566828752694
"2","OLS","Test2",0.7,0.005,19.81100322983,1.62279259032834
"3","OLS","Test3",0.8,0.005,-8.28718645260273,1.20103296793019
"4","OLS","Test4",0.6,0.01,59.2938849689801,4.68154259256494
"5","OLS","Test5",0.7,0.01,19.81100322983,3.21891323208092
"6","OLS","Test6",0.8,0.01,-8.28718645260273,2.38587430176665
"7","OLS","Test7",0.6,0.02,59.2938849689801,9.17071760871278
"8","OLS","Test8",0.7,0.02,19.81100322983,6.33400239116503
"9","OLS","Test9",0.8,0.02,-8.28718645260273,4.70841320897051
"10","York","Test1",0.6,0.005,59.2594350238839,2.36101927321118
"11","York","Test2",0.7,0.005,19.842243443704,1.62061259718342
"12","York","Test3",0.8,0.005,-8.22357440629264,1.19989524311666
"13","York","Test4",0.6,0.01,59.2594350238839,4.67243364735515
"14","York","Test5",0.7,0.01,19.842243443704,3.21462727176271
"15","York","Test6",0.8,0.01,-8.22357440629264,2.38363322208812
"16","York","Test7",0.6,0.02,59.2594350238839,9.15321806567067
"17","York","Test8",0.7,0.02,19.842243443704,6.32571461340285
"18","York","Test9",0.8,0.02,-8.22357440629264,4.7040638391012
"19","Deming","Test1",0.6,0.005,59.2195196310292,2.3599918653652
"20","Deming","Test2",0.7,0.005,19.8174700374649,1.62007788903099
"21","Deming","Test3",0.8,0.005,-8.23999598889634,1.19957975376468
"22","Deming","Test4",0.6,0.01,59.2195196310292,4.67041582328517
"23","Deming","Test5",0.7,0.01,19.8174700374649,3.21357308514825
"24","Deming","Test6",0.8,0.01,-8.23999598889634,2.38300970858683
"25","Deming","Test7",0.6,0.02,59.2195196310292,9.14932328681908
"26","Deming","Test8",0.7,0.02,19.8174700374649,6.32366484812377
"27","Deming","Test9",0.8,0.02,-8.23999598889634,4.70284573457917
"28","WOLS","Test1",0.6,0.005,59.3727203259241,2.36731565554101
"29","WOLS","Test2",0.7,0.005,19.8652856732041,1.62367328956606
"30","WOLS","Test3",0.8,0.005,-8.24682632366734,1.20156735499177
"31","WOLS","Test4",0.6,0.01,59.3727203259241,4.68478009742705
"32","WOLS","Test5",0.7,0.01,19.8652856732041,3.22065072355036
"33","WOLS","Test6",0.8,0.01,-8.24682632366734,2.38693117577651
"34","WOLS","Test7",0.6,0.02,59.3727203259241,9.17697452559321
"35","WOLS","Test8",0.7,0.02,19.8652856732041,6.33738530562192
"36","WOLS","Test9",0.8,0.02,-8.24682632366734,4.710480816661
"37","BayesianBLM1","Test1",0.6,0.005,59.2913660734727,0.461291151177642
"38","BayesianBLM1","Test2",0.7,0.005,19.7796210284555,0.33557875885244
"39","BayesianBLM1","Test3",0.8,0.005,-8.32234440849349,0.232733978567374
"40","BayesianBLM1","Test4",0.6,0.01,59.2952078401299,0.475410406378129
"41","BayesianBLM1","Test5",0.7,0.01,19.7866561716865,0.315402016561875
"42","BayesianBLM1","Test6",0.8,0.01,-8.31672361577806,0.25010024754079
"43","BayesianBLM1","Test7",0.6,0.02,59.2947855036499,0.482410872312447
"44","BayesianBLM1","Test8",0.7,0.02,19.7821287962673,0.308156224862597
"45","BayesianBLM1","Test9",0.8,0.02,-8.32428452608976,0.263570734238015
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.4347694311437,0.467600587196547
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,19.8443801447431,0.348864701838597
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-8.31229741923366,0.25266231733425
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.4657368010624,0.508858627206505
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,19.8412989202974,0.354566646677364
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-8.32196781049387,0.238613890329416
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,59.4511966420684,0.507173655547484
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,19.8436935069339,0.371904488392246
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-8.3199996554494,0.250454915865612
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.4794893379595,0.542529023603171
"56","infTempBayesianBLM3","Test2",0.7,0.005,19.8218348048919,0.331239968588579
"57","infTempBayesianBLM3","Test3",0.8,0.005,-8.36202900421606,0.266069774582255
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.4790440191489,0.542019900587399
"59","infTempBayesianBLM3","Test5",0.7,0.01,19.8147903221859,0.3510451671469
"60","infTempBayesianBLM3","Test6",0.8,0.01,-8.36760635432833,0.249951437629583
"61","infTempBayesianBLM3","Test7",0.6,0.02,59.4688165643419,0.51059508092473
"62","infTempBayesianBLM3","Test8",0.7,0.02,19.8181193904669,0.330543405623897
"63","infTempBayesianBLM3","Test9",0.8,0.02,-8.37070186113003,0.249105345983724
