"","Model","alpha","beta"
"1","OLS",0.128562391841227,0.0481839722640615
"2","OLS",0.189181755058477,0.0431442754832687
"3","OLS",0.335714317050285,0.0327128546392762
"4","OLS",0.165865484609658,0.0451213032015562
"5","OLS",0.249720722850091,0.0368275607638052
"6","OLS",0.106082536800531,0.0504327973985607
"7","OLS",0.124820994803587,0.0485865950326777
"8","OLS",0.143610822603204,0.0468299080521417
"9","OLS",0.131041397603992,0.0477115128053299
"10","OLS",0.184959841982399,0.0440128895268477
"11","OLS",0.211675774525965,0.0407975572198465
"12","OLS",0.228724992479725,0.0404569627297773
"13","OLS",0.192938917539126,0.042141566984064
"14","OLS",0.0823459109549956,0.0531082355073011
"15","OLS",0.201004247874884,0.0423798903516523
"16","OLS",0.24176249378946,0.0397103690082124
"17","OLS",0.0742789240494001,0.0548004887510855
"18","OLS",0.240579320847003,0.0390102672414846
"19","OLS",0.266436726943075,0.0369540753254249
"20","OLS",0.0815260286811579,0.0524793537728824
"21","OLS",0.07251531355253,0.0549017050751789
"22","OLS",0.225333386103137,0.0397836800211153
"23","OLS",0.200231537106405,0.0416778825198003
"24","OLS",0.284141212334068,0.0347238773508012
"25","OLS",0.0939793457110488,0.0505526025362428
"26","OLS",0.159267030298719,0.0444337051258226
"27","OLS",0.183152245641953,0.0434820670777785
"28","OLS",0.0781506550207203,0.0535405198847267
"29","OLS",0.279791068620453,0.0353722947743436
"30","OLS",0.146103163198211,0.0473951222786928
"31","OLS",0.278511401527937,0.0367403387205121
"32","OLS",0.221209013667466,0.0404734845514698
"33","OLS",0.284917188822224,0.0344551972575354
"34","OLS",0.12454435913984,0.0489226397507066
"35","OLS",-0.0281586109545867,0.0639722384974633
"36","OLS",0.136185620941966,0.0476585370403278
"37","OLS",0.553495982966565,0.0165763940932417
"38","OLS",0.135322909145109,0.0481312960140824
"39","OLS",0.124080398624546,0.0488713032558717
"40","OLS",0.166501620712008,0.0455714386019201
"41","OLS",0.269666275252941,0.0364333565095736
"42","OLS",0.277361800899246,0.0358533739139039
"43","OLS",0.256517690123871,0.0365539157196933
"44","OLS",0.23502938324899,0.0393319779847892
"45","OLS",0.202524801254369,0.0416455861980476
"46","OLS",0.139267835859719,0.0477229019289137
"47","OLS",0.165908902059897,0.0447750866476579
"48","OLS",0.261347694828319,0.0370673258215109
"49","OLS",0.219850236849352,0.0405313654059718
"50","OLS",0.0978977984239645,0.0514585349449084
"51","OLS",0.103049884409382,0.0514583889371541
"52","OLS",0.275613436417021,0.0352104619458129
"53","OLS",0.259888272215749,0.0373703833140892
"54","OLS",0.131981588686642,0.0478281777250621
"55","OLS",0.187043257053535,0.0427993231353551
"56","OLS",0.20049216059926,0.0417827832326651
"57","OLS",0.281407166454154,0.034508012420271
"58","OLS",0.18621268550873,0.0427946553611141
"59","OLS",0.141545747342941,0.046522441524632
"60","OLS",0.247008233081148,0.0385373160399533
"61","OLS",0.12840020879156,0.0486925299215367
"62","OLS",-0.0862625995721536,0.0702996226644589
"63","OLS",0.268399849468567,0.0362809226817765
"64","OLS",0.165908902059897,0.0447750866476579
"65","OLS",0.197344988373966,0.042075653596349
"66","OLS",0.149617188433438,0.0472046548681111
"67","OLS",0.283426838316525,0.0350751751912556
"68","OLS",0.271005603949773,0.0359493864039652
"69","OLS",0.0975210674690475,0.0522781764109915
"70","OLS",0.237243912444366,0.0382416804892243
"71","OLS",0.228492723349893,0.0398845765062036
"72","OLS",0.232145664696771,0.0381978708527306
"73","OLS",0.0698087879165574,0.0536292918712336
"74","OLS",0.106787598267248,0.0508386085559856
"75","OLS",0.131628572487668,0.0484423069191957
"76","OLS",0.294115948011888,0.0344992503347224
"77","OLS",0.135010919775021,0.0481825380304603
"78","OLS",0.154801945045328,0.0456519654302516
"79","OLS",0.148185451200516,0.0465430990227749
"80","OLS",0.138270540480478,0.047853507234073
"81","OLS",0.234198528382718,0.038904552549417
"82","OLS",0.120389155502889,0.0494979111150995
"83","OLS",0.193539807965899,0.0435207775268633
"84","OLS",0.272655032713756,0.036782685278061
"85","OLS",0.237672052946785,0.0395625565807668
"86","OLS",0.219979917881942,0.0394416889767788
"87","OLS",0.228213514375201,0.0394729883073404
"88","OLS",0.273303178569654,0.0363030788015163
"89","OLS",0.269084683025691,0.0367023059000237
"90","OLS",0.210301786492934,0.0415085548696492
"91","OLS",0.179108925313643,0.0433780644622229
"92","OLS",0.242954998161521,0.0375165350570546
"93","OLS",0.134116837626509,0.0480848013193106
"94","OLS",0.231493044062083,0.0396355416985159
"95","OLS",0.279594514096666,0.0347060968269906
"96","OLS",0.188996026059415,0.0421671354644187
"97","OLS",0.24732000002244,0.0375584549871682
