"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,53.8648718376978,1.04013530906204
"2","OLS","Test2",0.7,0.005,18.5365133490353,0.739575665524285
"3","OLS","Test3",0.8,0.005,-7.36409923807827,0.560259850335825
"4","OLS","Test4",0.6,0.01,53.8648718376978,2.06066973231947
"5","OLS","Test5",0.7,0.01,18.5365133490353,1.46801301604663
"6","OLS","Test6",0.8,0.01,-7.36409923807827,1.11349297386494
"7","OLS","Test7",0.6,0.02,53.8648718376978,4.04534177265418
"8","OLS","Test8",0.7,0.02,18.5365133490353,2.89257044187488
"9","OLS","Test9",0.8,0.02,-7.36409923807827,2.19945750147278
"10","York","Test1",0.6,0.005,53.4590073714112,1.04225662639988
"11","York","Test2",0.7,0.005,18.0758097377631,0.740339688123527
"12","York","Test3",0.8,0.005,-7.84324585289238,0.560465880010042
"13","York","Test4",0.6,0.01,53.4590073714112,2.0648086904562
"14","York","Test5",0.7,0.01,18.0758097377631,1.46950067316465
"15","York","Test6",0.8,0.01,-7.84324585289238,1.11388729256564
"16","York","Test7",0.6,0.02,53.4590073714112,4.05322537167001
"17","York","Test8",0.7,0.02,18.0758097377631,2.8953909848386
"18","York","Test9",0.8,0.02,-7.84324585289238,2.20017786785957
"19","Deming","Test1",0.6,0.005,53.5250100139017,1.04030784230233
"20","Deming","Test2",0.7,0.005,18.1971034082236,0.73942533397539
"21","Deming","Test3",0.8,0.005,-7.69519268297154,0.56000912548285
"22","Deming","Test4",0.6,0.01,53.5250100139017,2.06098819393029
"23","Deming","Test5",0.7,0.01,18.1971034082236,1.46770401761037
"24","Deming","Test6",0.8,0.01,-7.69519268297154,1.11298910245222
"25","Deming","Test7",0.6,0.02,53.5250100139017,4.04587834581304
"26","Deming","Test8",0.7,0.02,18.1971034082236,2.89192095133447
"27","Deming","Test9",0.8,0.02,-7.69519268297154,2.19844072270283
"28","WOLS","Test1",0.6,0.005,53.0918447020749,1.00830851598226
"29","WOLS","Test2",0.7,0.005,18.7002653186423,0.723199653585255
"30","WOLS","Test3",0.8,0.005,-6.69751563413263,0.551028719397976
"31","WOLS","Test4",0.6,0.01,53.0918447020749,1.99814711196484
"32","WOLS","Test5",0.7,0.01,18.7002653186423,1.43575234236422
"33","WOLS","Test6",0.8,0.01,-6.69751563413263,1.09527628764633
"34","WOLS","Test7",0.6,0.02,53.0918447020749,3.9246196159211
"35","WOLS","Test8",0.7,0.02,18.7002653186423,2.82994292345828
"36","WOLS","Test9",0.8,0.02,-6.69751563413263,2.163975888983
"37","BayesianBLM1","Test1",0.6,0.005,55.6619211722628,0.560980669807783
"38","BayesianBLM1","Test2",0.7,0.005,19.0003395587392,0.353230946655823
"39","BayesianBLM1","Test3",0.8,0.005,-7.55424517791299,0.273554768827434
"40","BayesianBLM1","Test4",0.6,0.01,55.6089930368345,0.596682108787301
"41","BayesianBLM1","Test5",0.7,0.01,18.5308259415751,0.358447346222443
"42","BayesianBLM1","Test6",0.8,0.01,-7.24548171309458,0.283059749014589
"43","BayesianBLM1","Test7",0.6,0.02,54.5468759064693,0.610560943128615
"44","BayesianBLM1","Test8",0.7,0.02,18.0992530630241,0.386089903453172
"45","BayesianBLM1","Test9",0.8,0.02,-3.99559290608472,0.321935493634487
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,55.4330189156959,0.839538096135665
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,19.4564774245192,0.387135703546016
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-7.43473835656096,0.286792575123847
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,56.014881495659,0.820053994295332
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,18.7027051822473,0.395666219761213
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-7.80527575308067,0.288180312320977
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,55.3092582892765,0.89319578863367
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,15.5780455594939,0.426520737957588
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-10.4739117291742,0.294985483728095
"55","infTempBayesianBLM3","Test1",0.6,0.005,56.2664539585483,0.67676045033366
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.9605329329634,0.364112802395426
"57","infTempBayesianBLM3","Test3",0.8,0.005,-7.45874644404686,0.279763758003842
"58","infTempBayesianBLM3","Test4",0.6,0.01,57.662374160391,0.677517947487202
"59","infTempBayesianBLM3","Test5",0.7,0.01,19.0083890425542,0.366318658527672
"60","infTempBayesianBLM3","Test6",0.8,0.01,-7.96631617627554,0.283076240058784
"61","infTempBayesianBLM3","Test7",0.6,0.02,53.5936733201609,0.654814522265573
"62","infTempBayesianBLM3","Test8",0.7,0.02,20.6070233555192,0.474915271660265
"63","infTempBayesianBLM3","Test9",0.8,0.02,-8.35430134720519,0.289872008174779
