"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.3267045128,0.0005732560,3.341953e-02,4.489534e-05
"2","BLM1_fit_NoErrors",0.3243572452,0.0005705154,3.360984e-02,4.545185e-05
"3","BLM3_fit",0.3269880554,0.0005801956,3.339503e-02,4.510565e-05
"4","Deming",0.2669204671,0.0044477870,3.672489e-02,3.598652e-04
"5","OLS",0.2590903780,0.0018203318,3.759413e-02,1.469346e-04
"6","WOLS",0.2592901510,0.0018702373,3.755761e-02,1.509650e-04
"7","York",0.2409628840,0.0025562349,3.908173e-02,2.109834e-04
