"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming",0.27227297,0.0242802,0.036068435,0.001846786
"2","OLS",0.27315631,0.01274579,0.036006053,0.001021527
"3","WOLS",0.27443135,0.01454593,0.035907653,0.001154882
"4","York",0.27289664,0.01255101,0.036025456,0.001013876
"5","BLM1_fit",-66.1684741658437,149.199548257182,5.60172898221218,12.5144066465139
"6","BLM1_fit_NoErrors",0.271607313381327,0.0159580992760818,0.0361043750914352,0.00134592468716829
"7","BLM3_fit",0.272056697901917,0.0161121176815006,0.0360720618357072,0.00137368926307108
