"","Type","Model","D47","D47se","Tc","se","Tc","se"
"76","Bayesian","BLM1_fit",0.6,0.01,0.6,0.01,55.8141470042004,2.52306928435031
"77","Bayesian","BLM1_fit",0.7,0.01,0.7,0.01,18.860812078159,1.76067799199797
"78","Bayesian","BLM1_fit",0.8,0.01,0.8,0.01,-7.83219681537883,1.3215497266616
"79","Bayesian","BLM1_fit",0.6,0.02,0.6,0.02,55.8148059532262,4.97294562828063
"80","Bayesian","BLM1_fit",0.7,0.02,0.7,0.02,18.8642173323665,3.48223778202927
"81","Bayesian","BLM1_fit",0.8,0.02,0.8,0.02,-7.8304604260148,2.62068090268139
"82","Bayesian","BLM1_fit_NoErrors",0.6,0.005,0.6,0.005,55.4570189404222,1.26395925678357
"83","Bayesian","BLM1_fit_NoErrors",0.7,0.005,0.7,0.005,18.7316599607577,0.883015740483873
"84","Bayesian","BLM1_fit_NoErrors",0.8,0.005,0.8,0.005,-7.86057478041858,0.662202023070051
"85","Bayesian","BLM1_fit_NoErrors",0.6,0.01,0.6,0.01,55.4573984186395,2.50332542087368
"86","Bayesian","BLM1_fit_NoErrors",0.7,0.01,0.7,0.01,18.7318487382311,1.75499235974651
"87","Bayesian","BLM1_fit_NoErrors",0.8,0.01,0.8,0.01,-7.86124586859034,1.32091785629421
"88","Bayesian","BLM1_fit_NoErrors",0.6,0.02,0.6,0.02,55.4575957609199,4.93453079111956
"89","Bayesian","BLM1_fit_NoErrors",0.7,0.02,0.7,0.02,18.7286424006988,3.46414433573074
"90","Bayesian","BLM1_fit_NoErrors",0.8,0.02,0.8,0.02,-7.86142539620181,2.61193782169239
"91","Bayesian","BLM3",0.6,0.005,0.6,0.005,55.6535842091063,1.26906138403975
"92","Bayesian","BLM3",0.7,0.005,0.7,0.005,18.7784099058309,0.884858044911132
"93","Bayesian","BLM3",0.8,0.005,0.8,0.005,-7.88577467769583,0.665123595721559
"94","Bayesian","BLM3",0.6,0.01,0.6,0.01,55.6522621208824,2.51387101534584
"95","Bayesian","BLM3",0.7,0.01,0.7,0.01,18.7789147407697,1.75968714139021
"96","Bayesian","BLM3",0.8,0.01,0.8,0.01,-7.88691364574732,1.31898683310088
"97","Bayesian","BLM3",0.6,0.02,0.6,0.02,55.6541860495811,4.96013953988988
"98","Bayesian","BLM3",0.7,0.02,0.7,0.02,18.7727863211551,3.48328445978238
"99","Bayesian","BLM3",0.8,0.02,0.8,0.02,-7.88710460883832,2.61751538741269
