"","Model","alpha.mean","alpha.se","beta.mean","beta.se"
"1","BLM1_fit",0.2220122601,0.0007127666,4.068340e-02,5.213684e-05
"2","BLM1_fit_NoErrors",0.2228310465,0.0007548076,4.062282e-02,5.552282e-05
"3","BLM3_fit",0.2242854960,0.0007456274,4.050677e-02,5.441264e-05
"4","Deming",0.2624358522,0.0016986179,3.723080e-02,1.367280e-04
"5","OLS",0.2636290789,0.0007505612,3.721225e-02,6.054410e-05
"6","WOLS",0.2649074332,0.0007860063,3.713199e-02,6.329922e-05
"7","York",0.2585281471,0.0011859525,3.763749e-02,9.881333e-05
