"","Model","alpha","beta"
"1","OLS",0.24630796807087,0.0382674749458101
"2","OLS",0.234056562373561,0.0393813534617694
"3","OLS",0.215053362142918,0.0413912947664159
"4","OLS",0.223958049628245,0.0403408970319878
"5","OLS",0.243984244405533,0.0385794909087049
"6","OLS",0.274884622191284,0.0359695553326658
"7","OLS",0.223100172852201,0.0405568449009807
"8","OLS",0.266992226896288,0.0366709890594647
"9","OLS",0.246330730039192,0.03838577432435
"10","OLS",0.253253577583067,0.0377297258224465
"11","OLS",0.264065779352068,0.0369287661344749
"12","OLS",0.219439407856989,0.0410290037012898
"13","OLS",0.262916329098953,0.0370889000353424
"14","OLS",0.224014931399591,0.0398697219754494
"15","OLS",0.222080207817518,0.0409188505567213
"16","OLS",0.193131724936001,0.0432269561217091
"17","OLS",0.267853133560135,0.0366506305235513
"18","OLS",0.222357180608564,0.0407084356127766
"19","OLS",0.153428805257314,0.0470633809239768
"20","OLS",0.274784448290602,0.0362023415751014
"21","OLS",0.29893537159395,0.034256640830857
"22","OLS",0.231092330491362,0.039826660851483
"23","OLS",0.255695799804446,0.0376963696428431
"24","OLS",0.209984374233289,0.041687741116471
"25","OLS",0.205706960301784,0.0416959687891178
"26","OLS",0.205628481734697,0.0418862391889807
"27","OLS",0.26005520264154,0.036982335579649
"28","OLS",0.22528777157825,0.0399013459331209
"29","OLS",0.236680231905211,0.0394614566015454
"30","OLS",0.212785049279812,0.0413742532726238
"31","OLS",0.205855001681262,0.0422229605624698
"32","OLS",0.230553667842363,0.0394809155664894
"33","OLS",0.192964816438569,0.043025509948175
"34","OLS",0.241977689824552,0.0387536089292817
"35","OLS",0.279773570393312,0.0352779475522825
"36","OLS",0.239741430096166,0.0391765680256976
"37","OLS",0.23714148021105,0.0389456797062512
"38","OLS",0.250425720887751,0.0379000758879129
"39","OLS",0.294282262828958,0.0348444211347936
"40","OLS",0.297180250562867,0.0343482954810643
"41","OLS",0.264623689100745,0.0365435091992933
"42","OLS",0.1912321059264,0.04301939622968
"43","OLS",0.215538434278476,0.041284938691292
"44","OLS",0.211329134737224,0.0416964853289088
"45","OLS",0.239112505374128,0.0385429777504207
"46","OLS",0.231388369085668,0.0393959591472486
"47","OLS",0.229662238297179,0.0403321436813342
"48","OLS",0.21877313003712,0.0404079288930062
"49","OLS",0.293196139579916,0.0347724934042741
"50","OLS",0.240681551306021,0.0390286623055044
"51","OLS",0.255674271177665,0.0373044822492119
"52","OLS",0.236912663340339,0.0386822800360919
"53","OLS",0.280853964896358,0.0354097948337242
"54","OLS",0.213397571980656,0.041247026385416
"55","OLS",0.169592110107176,0.0455493217043354
"56","OLS",0.252135964909219,0.0379554077293253
"57","OLS",0.2481309640575,0.038464713903166
"58","OLS",0.198303586736363,0.0423155622615418
"59","OLS",0.252903276767248,0.0379465265355685
"60","OLS",0.210110617857714,0.0412736504684359
"61","OLS",0.263640780602822,0.0366481772354034
"62","OLS",0.213496216377339,0.0413311057702504
"63","OLS",0.233623128649144,0.0396156307099189
"64","OLS",0.23907093062303,0.0393077648998695
"65","OLS",0.224315687864562,0.0402919143754874
"66","OLS",0.219350118995714,0.0406074984824526
"67","OLS",0.237603011605118,0.0392612387904428
"68","OLS",0.210929337942805,0.0414599965326403
"69","OLS",0.252628512616041,0.0381434131743853
"70","OLS",0.212300350822878,0.0411689703410662
"71","OLS",0.209608775350674,0.0415876418002999
"72","OLS",0.205049299525373,0.042232463391793
"73","OLS",0.224215591655249,0.0397527091270037
"74","OLS",0.254724928541287,0.0376231930509285
"75","OLS",0.218957749186125,0.0406863851647494
"76","OLS",0.223047438359597,0.0404844578430022
"77","OLS",0.238273389257102,0.0391651118678587
"78","OLS",0.225833004576267,0.0400614803294294
"79","OLS",0.220860750335491,0.0406614343753288
"80","OLS",0.216369990548642,0.0409034190267555
"81","OLS",0.270964809797755,0.0364948451836927
"82","OLS",0.264542762494172,0.0364414171522413
"83","OLS",0.225734123045645,0.0404046453258531
"84","OLS",0.276274065063651,0.0356746941889237
"85","OLS",0.262917895326351,0.0364999041226881
"86","OLS",0.231041921885055,0.0398329321567713
"87","OLS",0.274891114144727,0.0362169141756091
"88","OLS",0.228712714811357,0.0396389841646102
"89","OLS",0.26310908214794,0.0367658127942144
"90","OLS",0.211528189753258,0.041126010796569
"91","OLS",0.238217256262333,0.0389742351785086
"92","OLS",0.232659852536699,0.0399979721268999
"93","OLS",0.213902617301716,0.0413994791333393
"94","OLS",0.191734987238319,0.0434330417945711
"95","OLS",0.1988362533604,0.0425332916286135
"96","OLS",0.249505461083034,0.0382105728962398
"97","OLS",0.208363086135332,0.0418848442296892
"98","OLS",0.2488425938363,0.0381596361923073
"99","OLS",0.24927798290622,0.0384246518445736
"100","OLS",0.257411400593611,0.0376488651691235
"101","OLS",0.25401785103314,0.0380898198770942
"102","OLS",0.237448701523756,0.039388345041172
"103","OLS",0.237909097056553,0.0387108955685686
"104","OLS",0.223144626141259,0.040237072912451
"105","OLS",0.228795954100485,0.0396280395753695
"106","OLS",0.220342282644851,0.0404360941546015
"107","OLS",0.193161249258797,0.0430352712510912
"108","OLS",0.254724928541286,0.0376231930509285
"109","OLS",0.224800793187999,0.0404342998616716
"110","OLS",0.340482223550525,0.0311047670741658
"111","OLS",0.208734389359729,0.0420492634741655
"112","OLS",0.279329545379457,0.0353132506569511
"113","OLS",0.247556836152028,0.0385728284074434
"114","OLS",0.244253964050671,0.0386083012715586
"115","OLS",0.239046232160303,0.0389145918359467
"116","OLS",0.240323297501974,0.0387858488667053
"117","OLS",0.210751613462218,0.0414500629961692
"118","OLS",0.20180795634965,0.042340311579602
"119","OLS",0.198166538514468,0.0423608819628705
"120","OLS",0.284169703044678,0.0356358124052873
"121","OLS",0.220215166898306,0.040748808993289
"122","OLS",0.245798070844302,0.0383953110643332
"123","OLS",0.206183973321713,0.0418520731522275
"124","OLS",0.202716661163407,0.0421899473408113
"125","OLS",0.205019297918937,0.0416584104697644
"126","OLS",0.236426617898441,0.0392416294276718
"127","OLS",0.210446870217415,0.041430869942562
"128","OLS",0.259946576658175,0.0367351058035459
"129","OLS",0.225237802172596,0.0403505242247711
"130","OLS",0.194434382105886,0.0427338168381906
"131","OLS",0.25913943666386,0.0368212314689238
"132","OLS",0.225840367474331,0.0402160763175481
"133","OLS",0.153365502066205,0.0465408328010226
"134","OLS",0.230157322658563,0.0399221114906137
"135","OLS",0.244653918886002,0.0383587631452494
"136","OLS",0.243255399704105,0.038773883723859
"137","OLS",0.248118751955627,0.0385797826089972
"138","OLS",0.206755398165173,0.0418779407966747
"139","OLS",0.232843228130135,0.0398452887854572
"140","OLS",0.227059122550455,0.040200775141788
"141","OLS",0.26490440690348,0.036717183290529
"142","OLS",0.234004789780918,0.0397797546648878
"143","OLS",0.207471088668264,0.0423057911367112
"144","OLS",0.290411481973441,0.0349693681681162
"145","OLS",0.247060486861017,0.0386497601386759
"146","OLS",0.216522957457498,0.0415915484212196
"147","OLS",0.226674924561714,0.040142347925547
"148","OLS",0.209922137782259,0.0415834003147834
"149","OLS",0.215561528147297,0.0411887845539058
"150","OLS",0.199948150524376,0.042157010009901
"151","OLS",0.243143768670192,0.0392139408090395
"152","OLS",0.23572618382301,0.0390808726502359
"153","OLS",0.217713073780669,0.041124209920109
"154","OLS",0.216923739400683,0.0408280601687868
"155","OLS",0.254514604312257,0.037729581282612
"156","OLS",0.227253356518076,0.0403659478678193
"157","OLS",0.272056319120626,0.0362886852289529
"158","OLS",0.253969451373432,0.0378699049179259
"159","OLS",0.251883839725515,0.0379349878807294
"160","OLS",0.249253586569549,0.038137481544512
"161","OLS",0.207192330672745,0.0421453750819572
"162","OLS",0.23065748349285,0.0401475787642816
"163","OLS",0.208206723773749,0.0415682906478601
"164","OLS",0.238482731905821,0.0385240630999623
"165","OLS",0.142033596606309,0.048208423240244
"166","OLS",0.233411799859022,0.0394308819226541
"167","OLS",0.288436106551022,0.0352327401514121
"168","OLS",0.206563964801956,0.0417079646873253
"169","OLS",0.266008974126989,0.0369419373388832
"170","OLS",0.272674612898057,0.0360879340905079
"171","OLS",0.247299775626378,0.0381770893443474
"172","OLS",0.228267416410698,0.0401261663921145
"173","OLS",0.232843691417381,0.0395842632541265
"174","OLS",0.249987940477004,0.0377878378705045
"175","OLS",0.245710752170382,0.038227624627295
"176","OLS",0.218989964304448,0.0408861661429361
"177","OLS",0.245167407777828,0.0389168029933388
"178","OLS",0.254612196144001,0.0374625994509363
"179","OLS",0.212151292223731,0.0414174553248106
"180","OLS",0.241977149312247,0.0388604598846706
"181","OLS",0.230656673601397,0.0394706689847691
