"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming","0.25917016","0.03492362","0.037590122","0.002844173"
"2","OLS","0.26344447","0.02269072","0.037244738","0.001836330"
"3","WOLS","0.26503138","0.02613844","0.037106619","0.002114692"
"4","York","0.26115163","0.03731140","0.037475648","0.003043566"
"5","BLM1_fit","0.232957778593844","0.0185101884182406","0.0393018286999399","0.0014737252305041"
"6","BLM1_fit_NoErrors","0.234936898029592","0.0194349290608359","0.0391549655446105","0.00154247568182203"
"7","BLM3_fit","0.233924686183297","0.0197737708796467","0.0392208148529426","0.00158433774895097"
