"","Model","alpha.mean","alpha.sd","beta.mean","beta.sd"
"1","Deming","0.24461597","0.13818525","0.038738728","0.011913641"
"2","OLS","0.25866864","0.05720185","0.037574806","0.004582308"
"3","WOLS","0.26144095","0.05930951","0.037314889","0.004770727"
"4","York","0.24077278","0.07637303","0.039041627","0.006227049"
"5","BLM1_fit","0.0150870116151366","0.00998700348640927","0.0545486688159947","0.00476788908464922"
"6","BLM1_fit_NoErrors","0.0151438626618842","0.00979532877456523","0.055031409597958","0.00318716896585355"
"7","BLM3_fit","0.0154700967493481","0.0100539859158087","0.0545981060187935","0.00448643769117921"
