"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.3763477261958,2.44342064406032
"2","OLS","Test2",0.7,0.005,18.8101945345161,1.65800818876221
"3","OLS","Test3",0.8,0.005,-9.80254156939372,1.21868670466262
"4","OLS","Test4",0.6,0.01,59.3763477261958,4.83375779745978
"5","OLS","Test5",0.7,0.01,18.8101945345161,3.2880865393156
"6","OLS","Test6",0.8,0.01,-9.80254156939372,2.42060944490379
"7","OLS","Test7",0.6,0.02,59.3763477261958,9.46266687763608
"8","OLS","Test8",0.7,0.02,18.8101945345161,6.46752569603046
"9","OLS","Test9",0.8,0.02,-9.80254156939372,4.77567440420751
"10","York","Test1",0.6,0.005,60.6326450982166,2.44141607125891
"11","York","Test2",0.7,0.005,20.0688508119672,1.65925437743715
"12","York","Test3",0.8,0.005,-8.57908311209349,1.22081011574238
"13","York","Test4",0.6,0.01,60.6326450982166,4.83003168492058
"14","York","Test5",0.7,0.01,20.0688508119672,3.29065587867547
"15","York","Test6",0.8,0.01,-8.57908311209349,2.42487514662253
"16","York","Test7",0.6,0.02,60.6326450982166,9.4562741406736
"17","York","Test8",0.7,0.02,20.0688508119672,6.472953241938
"18","York","Test9",0.8,0.02,-8.57908311209349,4.78427537347369
"19","Deming","Test1",0.6,0.005,60.6473435559082,2.44209404804064
"20","Deming","Test2",0.7,0.005,20.0738563437125,1.65958262385999
"21","Deming","Test3",0.8,0.005,-8.57904862254009,1.22099020523376
"22","Deming","Test4",0.6,0.01,60.6473435559082,4.83136081329366
"23","Deming","Test5",0.7,0.01,20.0738563437125,3.29130188225764
"24","Deming","Test6",0.8,0.01,-8.57904862254009,2.42523040963323
"25","Deming","Test7",0.6,0.02,60.6473435559082,9.45883052564153
"26","Deming","Test8",0.7,0.02,20.0738563437125,6.47420497646198
"27","Deming","Test9",0.8,0.02,-8.57904862254009,4.7849668937759
"28","WOLS","Test1",0.6,0.005,59.4013838023641,2.44719402626754
"29","WOLS","Test2",0.7,0.005,18.7825112110606,1.65973238166009
"30","WOLS","Test3",0.8,0.005,-9.85559742788843,1.2195677241798
"31","WOLS","Test4",0.6,0.01,59.4013838023641,4.8411456213646
"32","WOLS","Test5",0.7,0.01,18.7825112110606,3.29147450776878
"33","WOLS","Test6",0.8,0.01,-9.85559742788843,2.42234399629666
"34","WOLS","Test7",0.6,0.02,59.4013838023641,9.47683975658691
"35","WOLS","Test8",0.7,0.02,18.7825112110606,6.47406999211273
"36","WOLS","Test9",0.8,0.02,-9.85559742788843,4.77903739800894
"37","BayesianBLM1","Test1",0.6,0.005,59.1948726132889,2.5600008953515
"38","BayesianBLM1","Test2",0.7,0.005,18.7872590652073,1.70363188624189
"39","BayesianBLM1","Test3",0.8,0.005,-9.79738350523721,1.28883819480541
"40","BayesianBLM1","Test4",0.6,0.01,59.3983582903925,4.92321852602711
"41","BayesianBLM1","Test5",0.7,0.01,18.7560015684478,3.20270527587631
"42","BayesianBLM1","Test6",0.8,0.01,-9.8363140832736,2.50848647427809
"43","BayesianBLM1","Test7",0.6,0.02,60.0686491823134,9.95524138816863
"44","BayesianBLM1","Test8",0.7,0.02,18.2353669114204,6.56191918509406
"45","BayesianBLM1","Test9",0.8,0.02,-9.59513738557851,5.02920062242214
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.3567392587343,2.49605622888559
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.7954256999199,1.74188154840709
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-9.80154507228598,1.25895110986416
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.2796241923163,5.02199694442142
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,18.8454883038713,3.32260491027354
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-10.0079367614135,2.43339678781334
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,59.3044467219471,9.72587171713176
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,20.943423206972,6.18036939315867
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-10.2252844494309,4.91880757544665
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.6251885782581,2.55401734564427
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.8386405020493,1.75433122098368
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.86013809132101,1.26243548635243
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.7852285024613,5.28103024544392
"59","infTempBayesianBLM3","Test5",0.7,0.01,19.2891733851408,3.55350889389896
"60","infTempBayesianBLM3","Test6",0.8,0.01,-10.0137491106357,2.34493133314191
"61","infTempBayesianBLM3","Test7",0.6,0.02,60.138504329271,10.8843758172735
"62","infTempBayesianBLM3","Test8",0.7,0.02,18.780565094186,6.66760088225375
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.18504254947672,4.77382520759582
