"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,54.2443652930247,2.13861328368301
"2","OLS","Test2",0.7,0.005,18.0690074679933,1.50822251251134
"3","OLS","Test3",0.8,0.005,-8.27192500003372,1.13638762768943
"4","OLS","Test4",0.6,0.01,54.2443652930247,4.23585704479416
"5","OLS","Test5",0.7,0.01,18.0690074679933,2.99325191465022
"6","OLS","Test6",0.8,0.01,-8.27192500003372,2.25827355268763
"7","OLS","Test7",0.6,0.02,54.2443652930247,8.31144520651844
"8","OLS","Test8",0.7,0.02,18.0690074679933,5.89606430380519
"9","OLS","Test9",0.8,0.02,-8.27192500003372,4.45975466695404
"10","York","Test1",0.6,0.005,54.897721662758,2.19063950549486
"11","York","Test2",0.7,0.005,17.9668399991734,1.53421174183956
"12","York","Test3",0.8,0.005,-8.7693194639665,1.15073033212263
"13","York","Test4",0.6,0.01,54.897721662758,4.33797109112578
"14","York","Test5",0.7,0.01,17.9668399991734,3.04442007531418
"15","York","Test6",0.8,0.01,-8.7693194639665,2.28656445409325
"16","York","Test7",0.6,0.02,54.897721662758,8.50828084166449
"17","York","Test8",0.7,0.02,17.9668399991734,5.99528215744351
"18","York","Test9",0.8,0.02,-8.7693194639665,4.51480915440766
"19","Deming","Test1",0.6,0.005,54.9146642613853,2.1901150450052
"20","Deming","Test2",0.7,0.005,17.9909684599294,1.53398646107308
"21","Deming","Test3",0.8,0.005,-8.74204283213351,1.15063071951238
"22","Deming","Test4",0.6,0.01,54.9146642613853,4.33694497401558
"23","Deming","Test5",0.7,0.01,17.9909684599294,3.04397849376784
"24","Deming","Test6",0.8,0.01,-8.74204283213351,2.2863693198122
"25","Deming","Test7",0.6,0.02,54.9146642613853,8.50631532930015
"26","Deming","Test8",0.7,0.02,17.9909684599294,5.99443344831502
"27","Deming","Test9",0.8,0.02,-8.74204283213351,4.51443466808132
"28","WOLS","Test1",0.6,0.005,53.4757678960443,2.08579432949227
"29","WOLS","Test2",0.7,0.005,18.0737857973279,1.48133335146332
"30","WOLS","Test3",0.8,0.005,-7.85528835897753,1.12129871904114
"31","WOLS","Test4",0.6,0.01,53.4757678960443,4.13213338470285
"32","WOLS","Test5",0.7,0.01,18.0737857973279,2.94028948855652
"33","WOLS","Test6",0.8,0.01,-7.85528835897753,2.22849868113599
"34","WOLS","Test7",0.6,0.02,53.4757678960443,8.11130647445617
"35","WOLS","Test8",0.7,0.02,18.0737857973279,5.79328194205095
"36","WOLS","Test9",0.8,0.02,-7.85528835897753,4.40176587318183
"37","BayesianBLM1","Test1",0.6,0.005,47.3877851314714,1.85271369519601
"38","BayesianBLM1","Test2",0.7,0.005,20.2294612000679,1.42318354554918
"39","BayesianBLM1","Test3",0.8,0.005,-1.02766344612002,1.11495383646017
"40","BayesianBLM1","Test4",0.6,0.01,39.2419244589017,2.63752937196498
"41","BayesianBLM1","Test5",0.7,0.01,23.6614793522948,2.22972335272064
"42","BayesianBLM1","Test6",0.8,0.01,10.1397965490988,1.83347285169598
"43","BayesianBLM1","Test7",0.6,0.02,31.9690236976613,2.87226486928932
"44","BayesianBLM1","Test8",0.7,0.02,26.5831079285688,2.69107793211579
"45","BayesianBLM1","Test9",0.8,0.02,21.1588417371461,2.66274966458738
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,47.5543988413418,1.84686176819321
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,20.3424337902023,1.38499434094496
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-0.935597364588113,1.13808104033715
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,39.2295934998823,2.62160647826481
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,23.5642228598537,2.19770464827617
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,10.3078113975789,1.87928603992786
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,32.2535674751424,2.88911158042196
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,26.7730723697457,2.80967275567574
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,21.1562802623445,2.46019599056228
"55","infTempBayesianBLM3","Test1",0.6,0.005,47.7560070480604,1.87632280880257
"56","infTempBayesianBLM3","Test2",0.7,0.005,20.4019684763353,1.42678921053468
"57","infTempBayesianBLM3","Test3",0.8,0.005,-1.01468090672059,1.12477383717987
"58","infTempBayesianBLM3","Test4",0.6,0.01,39.0486201744512,2.55168984870771
"59","infTempBayesianBLM3","Test5",0.7,0.01,23.5655703303073,2.23745887566391
"60","infTempBayesianBLM3","Test6",0.8,0.01,10.2304239266028,1.94990894395528
"61","infTempBayesianBLM3","Test7",0.6,0.02,32.368525400957,2.97092841703844
"62","infTempBayesianBLM3","Test8",0.7,0.02,26.4122261433308,2.6801337661575
"63","infTempBayesianBLM3","Test9",0.8,0.02,21.2518986098959,2.6692205674306
