Sample,Mineralogy,Material,N,D47_original,D47error,Age ,D47
Fossil aragonite shells,N,1,3,0.706,0.023,6.2,0.618
"Fuxian Lake, Yunnan",N2,1,10,0.708,0.019,0,0.62
