Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError,Temperature_original,TempError_original
9-90C-NoSalt,C,1,1,0.5714,NA,7.541181118,0.020666423,91,0.5
NA9-90C-Salt,V,1,1,0.5802,NA,7.541181118,0.020666423,91,0.5
NA7-70C-Salt,V,1,1,0.5811,NA,8.497382201,0.024716049,69.9,0.5
6-70C-NoSalt,mix,1,1,0.6167,NA,8.497382201,0.024716049,69.9,0.5
2-25C-NoSalt,C,1,1,0.6766,NA,11.19678863,0.037372433,25.7,0.5
NA2-25C-Salt,mix,1,1,0.6779,NA,11.19678863,0.037372433,25.7,0.5
4-50C-NoSalt,mix,1,1,0.6458,NA,9.599917441,0.029675152,49.6,0.5
NA5-50C-Salt,V,1,1,0.6151,NA,9.599917441,0.029675152,49.6,0.5
8-80C-NoSalt,C,1,1,0.5351,NA,8.022829603,0.022676161,79.9,0.5
NA8-80C-Salt,mix,1,1,0.5314,NA,8.022829603,0.022676161,79.9,0.5
1-23C-NoSalt,C,1,1,0.6932,NA,11.3634785,0.038209383,23.5,0.5
NA1-23C-Salt,V,1,1,0.6899,NA,11.3634785,0.038209383,23.5,0.5
7-70C-NoSalt,C,1,1,0.5839,NA,8.497382201,0.024716049,69.9,0.5
NA7-70C-Salt,V,1,1,0.5873,NA,8.497382201,0.024716049,69.9,0.5
NA9-90C-Salt,V,1,1,0.5516,NA,7.541181118,0.020666423,91,0.5
9-90C-NoSalt,C,1,1,0.5379,NA,7.541181118,0.020666423,91,0.5
8-80C-NoSalt,C,1,1,0.5996,NA,8.022829603,0.022676161,79.9,0.5
NA8-80C-Salt,mix,1,1,0.5906,NA,8.022829603,0.022676161,79.9,0.5
1-23C-NoSalt,C,1,1,0.6962,NA,11.3634785,0.038209383,23.5,0.5
NA1-23C-Salt,V,1,1,0.6991,NA,11.3634785,0.038209383,23.5,0.5
NA7-70C-Salt,V,1,1,0.5956,NA,8.497382201,0.024716049,69.9,0.5
7-70C-NoSalt,C,1,1,0.5921,NA,8.497382201,0.024716049,69.9,0.5
9-90C-NoSalt,C,1,1,0.5219,NA,7.541181118,0.020666423,91,0.5
2-25C-NoSalt,C,1,1,0.7,NA,11.19678863,0.037372433,25.7,0.5
NA2-25C-Salt,mix,1,1,0.7056,NA,11.19678863,0.037372433,25.7,0.5
8-80C-NoSalt,C,1,1,0.5248,NA,8.022829603,0.022676161,79.9,0.5
NA8-80C-Salt,mix,1,1,0.5578,NA,8.022829603,0.022676161,79.9,0.5
7-70C-NoSalt,C,1,1,0.5684,NA,8.497382201,0.024716049,69.9,0.5
1-23C-NoSalt,C,1,1,0.7037,NA,11.3634785,0.038209383,23.5,0.5
NA1-23C-Salt,V,1,1,0.6983,NA,11.3634785,0.038209383,23.5,0.5
8-80C-NoSalt,C,1,1,0.5972,NA,8.022829603,0.022676161,79.9,0.5
R125C,C,1,1,0.701,NA,11.24942624,0.149417916,25,2
8-80C-NoSalt,C,1,1,0.538,NA,8.022829603,0.022676161,79.9,0.5
R125C,C,1,1,0.6845,NA,11.24942624,0.149417916,25,2
R380C,C,1,1,0.5666,NA,8.018286665,0.09005445,80,2
R250C,C,1,1,0.5953,NA,9.576166301,0.117443823,50,2
R6150C,C,1,1,0.4455,NA,5.584847382,0.052421133,150,2
R8200C,C,1,1,0.4547,NA,4.466859692,0.037524645,200,2
R4100C,C,1,1,0.5485,NA,7.181796716,0.076371083,100,2
8-80C-NoSalt,C,1,1,0.5535,NA,8.022829603,0.022676161,79.9,0.5
5-50C-NoSalt,C,1,1,0.6353,NA,9.599917441,0.029675152,49.6,0.5
NA6-50C-Salt,V,1,1,0.6317,NA,9.599917441,0.029675152,49.6,0.5
R5125C,C,1,1,0.4595,NA,6.308216062,0.062900926,125,2
Na4-37C-Salt,V,1,1,0.5582,NA,10.36232679,0.033276558,37.5,0.5
3-37C-NoSalt,C,1,1,0.5854,NA,10.36232679,0.033276558,37.5,0.5
5-50C-NoSalt,C,1,1,0.4998,NA,9.599917441,0.029675152,49.6,0.5
NA6-50C-Salt,V,1,1,0.5179,NA,9.599917441,0.029675152,49.6,0.5
R10250C,C,1,1,0.3195,NA,3.653823298,0.027777706,250,2
10-90C-NoSalt,A,1,1,0.5457,NA,7.541181118,0.020666423,91,0.5
R8200C,C,1,1,0.4387,NA,4.466859692,0.037524645,200,2
NA9-90C-Salt,V,1,1,0.5365,NA,7.541181118,0.020666423,91,0.5
R4100C,C,1,1,0.5647,NA,7.181796716,0.076371083,100,2
R10250C,C,1,1,0.3548,NA,3.653823298,0.027777706,250,2
3-37C-NoSalt,C,1,1,0.6198,NA,10.36232679,0.033276558,37.5,0.5
Na4-37C-Salt,V,1,1,0.6191,NA,10.36232679,0.033276558,37.5,0.5
R250C,C,1,1,0.6055,NA,9.576166301,0.117443823,50,2
R9225C,C,1,1,0.4052,NA,4.029765094,0.032164015,225,2
10-90C-NoSalt,A,1,1,0.4946,NA,7.541181118,0.020666423,91,0.5
R7175C,C,1,1,0.4799,NA,4.97912694,0.04414587,175,2
R380C,C,1,1,0.5383,NA,8.018286665,0.09005445,80,2
5-50C-NoSalt,C,1,1,0.6093,NA,9.599917441,0.029675152,49.6,0.5
NA6-50C-Salt,V,1,1,0.6062,NA,9.599917441,0.029675152,49.6,0.5
R5125C,C,1,1,0.4999,NA,6.308216062,0.062900926,125,2
R7175C,C,1,1,0.4246,NA,4.97912694,0.04414587,175,2
R9225C,C,1,1,0.3679,NA,4.029765094,0.032164015,225,2
R6150C,C,1,1,0.4549,NA,5.584847382,0.052421133,150,2
NA9-90C-Salt,V,1,1,0.4936,NA,7.541181118,0.020666423,91,0.5
R250C,C,1,1,0.6499,NA,9.576166301,0.117443823,50,2
R380C,C,1,1,0.6025,NA,8.018286665,0.09005445,80,2
R4100C,C,1,1,0.5441,NA,7.181796716,0.076371083,100,2
R5125C,C,1,1,0.505,NA,6.308216062,0.062900926,125,2
R6150C,C,1,1,0.4665,NA,5.584847382,0.052421133,150,2
R7175C,C,1,1,0.4463,NA,4.97912694,0.04414587,175,2
R8200C,C,1,1,0.4135,NA,4.466859692,0.037524645,200,2
R9225C,C,1,1,0.4203,NA,4.029765094,0.032164015,225,2
R10250C,C,1,1,0.4271,NA,3.653823298,0.027777706,250,2
R6150C,C,1,1,0.4849,NA,5.584847382,0.052421133,150,2
R380C,C,1,1,0.5865,NA,8.018286665,0.09005445,80,2
R4100C,C,1,1,0.5769,NA,7.181796716,0.076371083,100,2
R250C,C,1,1,0.6524,NA,9.576166301,0.117443823,50,2
R7175C,C,1,1,0.4617,NA,4.97912694,0.04414587,175,2
R5125C,C,1,1,0.546,NA,6.308216062,0.062900926,125,2
R8200C,C,1,1,0.4491,NA,4.466859692,0.037524645,200,2
R125C,C,1,1,0.7453,NA,11.24942624,0.149417916,25,2
R9225C,C,1,1,0.4323,NA,4.029765094,0.032164015,225,2
R8200C,C,1,1,0.4343,NA,4.466859692,0.037524645,200,2
R250C,C,1,1,0.6458,NA,9.576166301,0.117443823,50,2
R5125C,C,1,1,0.4808,NA,6.308216062,0.062900926,125,2
R6150C,C,1,1,0.4887,NA,5.584847382,0.052421133,150,2
R10250C,C,1,1,0.4119,NA,3.653823298,0.027777706,250,2
R380C,C,1,1,0.5937,NA,8.018286665,0.09005445,80,2
R9225C,C,1,1,0.4111,NA,4.029765094,0.032164015,225,2
R125C,C,1,1,0.7098,NA,11.24942624,0.149417916,25,2
R4100C,C,1,1,0.5364,NA,7.181796716,0.076371083,100,2
R7175C,C,1,1,0.457,NA,4.97912694,0.04414587,175,2
Mg-1,M,1,1,0.5619,NA,8.022829603,0.004542939,79.9,0.1
DPT12-10-salt,M,1,1,0.6853,NA,12.35913636,0.008685268,11.3,0.1
DTP10-12-crust,M,1,1,0.7621,NA,12.35913636,0.008685268,11.3,0.1
DTP10-12-crust,M,1,1,0.7524,NA,12.35913636,0.008685268,11.3,0.1
209,M,1,1,0.615,NA,9.009908173,0.005406485,60,0.1
209,M,1,1,0.6322,NA,9.009908173,0.005406485,60,0.1
Mg-1,M,1,1,0.5549,NA,8.022829603,0.004542939,79.9,0.1
Mg-3,M,1,1,0.5619,NA,8.022829603,0.004542939,79.9,0.1
Mg-3,M,1,1,0.5567,NA,8.022829603,0.004542939,79.9,0.1
Mg-3,M,1,1,0.5588,NA,8.022829603,0.004542939,79.9,0.1
DPT12-10-salt,M,1,1,0.673,NA,12.35913636,0.008685268,11.3,0.1
140516_2_UWcp14_50C_1,C,1,1,0.6554,NA,9.75647616,0.021904832,47,0.36
140516_7_UWcp14_50C_1,C,1,1,0.6584,NA,9.75647616,0.021904832,47,0.36
140521_5_UWcp14_50C_1,C,1,1,0.6553,NA,9.75647616,0.021904832,47,0.36
140522_2_UWcp14_80C_1,C,1,1,0.5629,NA,8.156272717,0.016745601,77,0.36
140522_3_UWcp14_21C_1,C,1,1,0.7194,NA,11.47927407,0.017093813,22,0.22
140522_4_UWcp14_80C_1,C,1,1,0.566,NA,8.156272717,0.016745601,77,0.36
140522_5_UWcp14_21C_1,C,1,1,0.6714,NA,11.47927407,0.017093813,22,0.22
140527_3_UWcp14_21C_1,C,1,1,0.7016,NA,11.47927407,0.017093813,22,0.22
140527_4_UWcp14_50C_2,C,1,1,0.6358,NA,9.517172655,0.021104322,51,0.36
140527_5_UWcp14_50C_2,C,1,1,0.6515,NA,9.517172655,0.021104322,51,0.36
140530_1_UWcp14_80C_1,C,1,1,0.5808,NA,8.156272717,0.016745601,77,0.36
140530_6_UWcp14_50C_2,C,1,1,0.5996,NA,9.517172655,0.021104322,51,0.36
140602_1_UWcp14_50C_2,C,1,1,0.6153,NA,9.517172655,0.021104322,51,0.36
140603_8_UWcp14_50C_CA_3,unkn,1,1,0.5912,NA,9.230224861,0.035232502,56,0.63
140603_9_UWcp14_50C_CA_3,unkn,1,1,0.6,NA,9.230224861,0.035232502,56,0.63
140603_10_UWcp14_50C_CA_3,unkn,1,1,0.6604,NA,9.230224861,0.035232502,56,0.63
140606_1_UWcp14_70C_CA_1,A,1,1,0.5468,NA,8.297851547,0.045229545,74,0.95
140606_3_UWcp14_70C_CA_1,A,1,1,0.5691,NA,8.297851547,0.045229545,74,0.95
140606_5_UWcp14_70C_CA_1,A,1,1,0.6039,NA,8.297851547,0.045229545,74,0.95
140625_1_UWcp14_24C_CA_1,C,1,1,0.6998,NA,11.32526912,0.057710218,24,0.76
140701_1_UWcp14_24C_CA_1,C,1,1,0.6914,NA,11.32526912,0.057710218,24,0.76
140701_5_UWcp14_24C_CA_1,C,1,1,0.6717,NA,11.32526912,0.057710218,24,0.76
140721_7_UWcp14_80C_2,C,1,1,0.5866,NA,8.109884228,0.058802037,78,1.28
140721_8_UWcp14_80C_2,C,1,1,0.5479,NA,8.109884228,0.058802037,78,1.28
140721_9_UWcp14_80C_2,C,1,1,0.5628,NA,8.109884228,0.058802037,78,1.28
140723_7_UWcp14_40C_1,C,1,1,0.6329,NA,10.00492017,0.091770474,43,1.46
140723_8_UWcp14_40C_1,C,1,1,0.6524,NA,10.00492017,0.091770474,43,1.46
140723_9_UWcp14_40C_1,C,1,1,0.611,NA,10.00492017,0.091770474,43,1.46
140725_1_UWcp14_70C_2,A,1,1,0.6374,NA,8.443148975,0.022036775,71,0.45
140725_2_UWcp14_70C_2,A,1,1,0.6013,NA,8.443148975,0.022036775,71,0.45
140725_3_UWcp14_70C_2,A,1,1,0.6047,NA,8.443148975,0.022036775,71,0.45
140727_1_UWcp14_50C_3,C,1,1,0.6388,NA,9.635710173,0.007174543,49,0.12
